,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,73.55,35.332,22.614,16.294,12.5016,0.24276317935436964,0.24385537509806454,0.1612055040895939,0.20827266247943044,0.21638263226486742
1,far_focus,73.828,33.852,20.751333333333335,14.3165,10.6228,0.14278987981379032,0.19945505680516362,0.2267814506776631,0.3121958230622113,0.3432457169983536
2,fog_3d,75.354,34.135,19.21,12.058,8.0884,0.28370590484701097,0.2258886336348951,0.1607504068815615,0.18893773446325213,0.1685339737450704
3,flash,64.476,30.85,19.137333333333334,12.7285,8.1996,0.23078185692429543,0.2434314137790352,0.20476973010227084,0.1566384849138558,0.2409825250506401
4,color_quant,78.09,38.86,25.264666666666667,17.2685,10.6792,0.21945495950058103,0.23347713937982917,0.2241428578272462,0.22618787875398993,0.24357288284227252
5,low_light,69.2,33.785,21.590666666666667,15.157,10.412,0.2571873578708619,0.2597496975213289,0.38872625352814794,0.24512813170440495,0.17623247392475605
6,xy_motion_blur,66.138,28.452,15.846666666666666,9.7115,6.2916,0.2301037337165326,0.3409807160496712,0.2885827743448317,0.2551983599551022,0.2868197236675769
7,z_motion_blur,58.192,25.324,14.469333333333333,9.265,6.72,0.33915672171860933,0.29676443128846586,0.35715633956715465,0.28702365839853883,0.27531515900045633
8,iso_noise,69.794,34.401,22.335333333333335,15.709,11.0,0.22279287117999047,0.181988432421349,0.22448097867891192,0.19918138207867742,0.1972019576933235
9,bit_error,73.164,33.559,20.014666666666667,12.998,6.9144,0.2580892420373857,0.28120002662763,0.1920304768718779,0.17937675258144736,0.2380617531016469
10,h265_abr,79.31,38.938,24.669333333333334,15.9185,12.9248,0.18680989160202444,0.2950557293370366,0.3222096152603626,0.3059278419241309,0.17339022317901254
