,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,71.148,34.042,21.566,15.351,11.6652,0.26894093304872513,0.3447738392278552,0.42223771708086133,0.45415075216442347,0.39703533612191677
1,far_focus,71.324,32.04,19.208666666666666,13.07,9.5748,0.47823932487517595,0.33738213032484055,0.3654499463737011,0.5008969251066446,0.5337525885552168
2,fog_3d,70.102,27.721,14.073333333333334,8.167,5.1964,0.4095767065882683,0.2531050306279212,0.1939007219625637,0.18433043244294822,0.07338069286197424
3,flash,55.274,25.56,15.178,9.4405,5.4024,0.3246798734180629,0.2514531295746565,0.25755964452400804,0.3140753435436636,0.33135786303319037
4,color_quant,76.282,37.729,23.676666666666666,13.583,3.9172,0.42094317311421037,0.40701183769851923,0.3179993452504277,0.4017830085940659,0.3237726637162268
5,low_light,60.408,28.784,17.803333333333335,11.711,6.9684,0.2747771057765931,0.2830664454959333,0.30234336014837027,0.26658846414647996,0.3223152938298881
6,xy_motion_blur,58.064,22.695,11.770666666666667,6.818,4.332,0.3305921901483089,0.2521548285149038,0.3643536688759923,0.3130821972154081,0.3119898005388677
7,z_motion_blur,52.102,22.018,12.295333333333334,7.7765,5.62,0.42465815087780356,0.43199193803593516,0.3592862435616553,0.2928073233924806,0.2817443880485371
8,iso_noise,51.136,23.165,11.590666666666667,4.13,0.6556,0.33543308009393513,0.2968534464016557,0.2643372444435954,0.1236985208815895,0.018791729846270755
9,bit_error,67.602,30.599,17.832,11.285,5.6336,0.31389746395871043,0.37687662662938237,0.3312012078240514,0.44359638961032033,0.31823439919389784
10,h265_abr,74.666,36.644,22.812,13.9965,11.37,0.2748893522657454,0.32278739754110575,0.2735583253670484,0.41027982742525637,0.43667945405468345
