,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,77.792,37.878,24.438,17.757,13.7244,0.23288218630477786,0.2897195937111974,0.20692092832177877,0.24382598232477903,0.2430796418339014
1,far_focus,78.158,36.556,22.712666666666667,15.9155,11.9816,0.32548790820874274,0.3710821187123656,0.2517998437397182,0.24702659086324275,0.1835997945163399
2,fog_3d,78.184,34.575,19.036,11.7415,7.7368,0.20614923542598262,0.10853640048298985,0.12029886152595282,0.1261033253686037,0.1366043179295957
3,flash,68.338,32.613,20.244,13.604,8.7212,0.3418660219758749,0.41209639655426145,0.2133464813232422,0.207834170316346,0.15213700802996755
4,color_quant,81.74,40.744,26.461333333333332,17.7085,10.9504,0.37701764004305005,0.3052930636331439,0.2776055997237563,0.2505979794077575,0.3173513737274334
5,low_light,73.338,35.847,23.124,16.3435,11.5832,0.24889235524460673,0.2611625799909234,0.14854041952639818,0.11255501210689545,0.0833669857820496
6,xy_motion_blur,70.946,31.299,18.029333333333334,11.614,7.9336,0.3106018409598619,0.22445380501449108,0.26263063005171716,0.19357926724478602,0.16855467529967427
7,z_motion_blur,65.186,29.544,17.558666666666667,11.634,8.6512,0.17406995221972466,0.2844889892730862,0.44035384291782975,0.28331304085440934,0.23722687922418118
8,iso_noise,72.17,35.65,23.15,16.4065,11.4404,0.20853627938777208,0.2585288886912167,0.22684318479150534,0.28199727716855705,0.2696489423979074
9,bit_error,75.552,34.836,20.714666666666666,13.465,7.3248,0.20262414077296853,0.21207880694419146,0.23026685207150877,0.2614446976222098,0.23183594807051122
10,h265_abr,81.38,40.196,25.30666666666667,16.2655,13.174,0.35402076272293925,0.2758811139501631,0.20986247714608908,0.18164469115436077,0.24208822892978787
