,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,72.158,34.575,22.018666666666668,15.8135,12.0356,0.5252317022532225,0.620846088975668,0.553667476400733,0.5357664227485657,0.4757417617365718
1,far_focus,72.726,33.306,20.24266666666667,13.979,10.3156,0.5957152126356959,0.6169009227305651,0.627322668209672,0.5227081794291735,0.6041806098073721
2,fog_3d,74.27,33.788,18.942666666666668,11.882,7.9604,0.3190727271139622,0.4444722211919725,0.24135189619846642,0.2860328631941229,0.26671219273703173
3,flash,62.044,29.473,18.149333333333335,11.958,7.5588,0.44037808664143085,0.5592886880040169,0.33849100209772587,0.271647728048265,0.2803637683391571
4,color_quant,76.996,38.146,24.457333333333334,15.966,9.6976,0.531656383536756,0.6079221460968256,0.3607881534844637,0.317443473264575,0.2510862164199352
5,low_light,66.892,32.442,20.73,14.5005,10.0096,0.5964121967554092,0.41226471588015556,0.4470951547846198,0.30723952781409025,0.27284445241093636
6,xy_motion_blur,63.552,26.877,14.833333333333334,9.1145,6.01,0.30982863903045654,0.25671509094536304,0.2786203376017511,0.12624447885900736,0.22479082085192204
7,z_motion_blur,56.38,24.74,14.246,9.227,6.79,0.3004681896418333,0.3399651451036334,0.29336888156831264,0.317653963342309,0.34968124236911535
8,iso_noise,66.132,32.446,20.631333333333334,14.1575,9.3572,0.40371348755434155,0.3640650063753128,0.1471274457871914,0.2849807315506041,0.3232069341465831
9,bit_error,70.718,32.295,19.059333333333335,12.2415,6.3136,0.40408124309033155,0.3567773485556245,0.1959218718111515,0.21788324788212776,0.2385318661108613
10,h265_abr,76.93,37.801,23.67866666666667,15.3145,12.456,0.40977840358391404,0.4465661980211735,0.42849406599998474,0.3299381323158741,0.39521223306655884
