,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,75.812,36.643,23.573333333333334,17.0005,13.0804,0.2994594154879451,0.3432337064296007,0.254336713347584,0.26054177340120077,0.2976679988205433
1,far_focus,76.472,35.4,21.831333333333333,15.1165,11.2556,0.332726476714015,0.3076843759045005,0.2986508049070835,0.42167680989950895,0.3707722257822752
2,fog_3d,78.218,35.753,20.159333333333333,12.638,8.4372,0.2547546688001603,0.19699973618844524,0.21089030578150414,0.24389436806814047,0.06583682114433032
3,flash,66.096,31.479,19.48,12.9105,8.1708,0.2731284887995571,0.28455565473996103,0.18666746746748686,0.2728515937924385,0.1866316564846784
4,color_quant,79.982,39.697,25.6,16.4185,9.152,0.31460529239848256,0.3039443865418434,0.26088997116312385,0.2884483844973147,0.15052633732557297
5,low_light,73.294,35.94,23.186,16.4975,11.7036,0.4008466568775475,0.2559494785964489,0.23446358181536198,0.16499066376127303,0.11059277271851897
6,xy_motion_blur,69.36,30.673,17.559333333333335,11.1725,7.5032,0.25164107233285904,0.2811173931695521,0.2132999124005437,0.2534447982907295,0.1913515122141689
7,z_motion_blur,64.236,29.077,17.343333333333334,11.463,8.4804,0.3493352478835732,0.19402077398262918,0.26161617622710764,0.3101496300660074,0.23275902029126883
8,iso_noise,71.268,35.11,22.563333333333333,15.833,10.9432,0.31177041772753,0.25742545211687684,0.35586929973214865,0.24376185471192002,0.18514273967593908
9,bit_error,74.264,34.254,20.414666666666665,13.276,7.0528,0.25876836851239204,0.2997822971083224,0.19682965194806457,0.23926297121215612,0.20977310091257095
10,h265_abr,80.336,39.476,25.016666666666666,16.1865,13.1212,0.20726283639669418,0.2239225199446082,0.26889730524271727,0.2665041198488325,0.31783308554440737
