,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,76.172,36.86,23.669333333333334,17.0945,13.1528,0.2421042183414102,0.18761329492554069,0.14757624734193087,0.2589887301437557,0.2872237265110016
1,far_focus,76.754,35.72,21.963333333333335,15.231,11.3264,0.2468135179951787,0.262837472371757,0.2522403714247048,0.30446243193000555,0.2573517085984349
2,fog_3d,78.308,35.779,20.195333333333334,12.682,8.5584,0.1763636440737173,0.3071900482464116,0.1833852675918024,0.11833264400047482,0.10922707091958728
3,flash,66.986,31.924,19.790666666666667,13.1735,8.4196,0.21989000868052244,0.274752049241215,0.2702952828258276,0.23594136256724596,0.245242434553802
4,color_quant,80.386,39.961,25.815333333333335,16.723,8.9348,0.21252496261149645,0.29233161732554436,0.23547220462933183,0.20307115465402603,0.14606360159814358
5,low_light,73.328,36.004,23.32133333333333,16.539,11.8276,0.31684729317203164,0.14980147825554013,0.21256831986829638,0.13403984159231186,0.13691230968106538
6,xy_motion_blur,68.978,30.042,17.074666666666666,10.783,7.1792,0.16054336261004212,0.1683852951973677,0.20332551235333085,0.17704933043569326,0.08374852407723665
7,z_motion_blur,64.97,29.41,17.509333333333334,11.6405,8.6324,0.20796906668692827,0.2797063537873328,0.28579472261480987,0.21980295469984412,0.19666161225177348
8,iso_noise,71.23,35.087,22.644666666666666,15.7545,10.742,0.2122239493764937,0.21087961783632636,0.266013540327549,0.22703871643170714,0.19719683774746954
9,bit_error,74.834,34.594,20.717333333333332,13.5185,7.2636,0.19206077605485916,0.16592456260696054,0.16943510714918375,0.25263539887964725,0.18696310557425022
10,h265_abr,80.782,39.691,25.042666666666666,16.299,13.2068,0.19058256503194573,0.3203019732609391,0.3121808706782758,0.3580435812473297,0.25697683240287006
