,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,75.392,36.444,23.384,16.8875,12.9444,0.12895772140473127,0.29889489337801933,0.3127076756209135,0.2844164343550801,0.28357131080701947
1,far_focus,75.856,35.147,21.582666666666668,14.9675,11.0904,0.21919804625213146,0.22304008342325687,0.24702634382992983,0.4264411889016628,0.1881911065429449
2,fog_3d,77.446,35.284,19.834,12.4645,8.3484,0.29458617279306054,0.21832617424661294,0.13385101748281159,0.11224060277163517,0.11718621937325224
3,flash,65.62,31.191,19.303333333333335,12.7765,8.0932,0.3626447329297662,0.3246809495612979,0.20317305391654372,0.16544673964381218,0.23455390566959977
4,color_quant,79.576,39.494,25.418,16.408,8.9788,0.37000593449920416,0.3049144400283694,0.2664641523733735,0.2775140795856714,0.200202823150903
5,low_light,72.15,35.29,22.802666666666667,16.1695,11.414,0.25394273502752185,0.22429226338863373,0.2993113426491618,0.08881653333082795,0.20156256097834557
6,xy_motion_blur,68.382,30.059,17.062,10.738,7.1308,0.1573594082146883,0.2718174073379487,0.2646400732919574,0.25048448937013745,0.22849354380741715
7,z_motion_blur,62.622,27.958,16.391333333333332,10.7095,7.8512,0.18152192002162337,0.2373129315674305,0.19197825156152248,0.1987996338866651,0.20797082921490073
8,iso_noise,69.8,34.464,22.133333333333333,15.3865,10.3564,0.2758486960083246,0.3069307371042669,0.2506725965067744,0.17581384140066803,0.17778000817634165
9,bit_error,73.672,33.839,20.02,12.9365,6.682,0.3604301302693784,0.27230517473071814,0.21192131843417883,0.16845071921125054,0.24978615203872323
10,h265_abr,80.004,39.342,24.77,15.9695,12.9088,0.26837892830371857,0.2235139743424952,0.2866495484486222,0.31414175452664495,0.33454163279384375
