,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,66.968,31.983,20.271333333333335,14.497,11.0244,0.6143553964793682,0.5518116839230061,0.5031778812408447,0.5981264859437943,0.5827760584652424
1,far_focus,66.61,29.688,17.612666666666666,11.9205,8.688,0.6169340685009956,0.5285120122134686,0.6294704154133797,0.649029616266489,0.6441707573831081
2,fog_3d,68.332,28.758,15.435333333333332,9.3065,6.1172,0.47137411683797836,0.47858311980962753,0.5409940918907523,0.4501150995492935,0.3218424888327718
3,flash,49.9,22.997,13.554666666666666,8.3675,4.814,0.6530540362000465,0.6815630085766315,0.6780653223395348,0.6416063010692596,0.4755497258156538
4,color_quant,72.064,35.593,22.516,13.776,5.228,0.686395026743412,0.667315948754549,0.6326327659189701,0.6914073452353477,0.503051869571209
5,low_light,59.54,28.344,17.326666666666668,11.087,6.2448,0.4579822439700365,0.5483042960986495,0.45759452879428864,0.3468450903892517,0.4278144845739007
6,xy_motion_blur,54.83,22.309,11.962,7.216,4.7368,0.6444084588438272,0.5725003592669964,0.46936253644526005,0.4327121116220951,0.39631884545087814
7,z_motion_blur,51.748,22.729,13.112,8.466,6.1828,0.4928191229701042,0.48020584508776665,0.5596005693078041,0.6388100255280733,0.6481369063258171
8,iso_noise,58.1,28.186,17.458,11.4225,7.0164,0.5760880652815104,0.4955995976924896,0.5282677095383406,0.5349221769720316,0.4985415730625391
9,bit_error,62.304,27.454,15.605333333333334,9.578,4.4376,0.4882125575095415,0.5042932722717524,0.6151393493637443,0.5549924355000257,0.4586772443726659
10,h265_abr,70.702,34.696,21.766666666666666,13.7445,11.1488,0.6570359990000725,0.6002402808517218,0.562838964164257,0.5652185790240765,0.5539187164977193
