,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,81.506,39.803,25.792666666666666,18.7495,14.544,0.23909576702862978,0.12924433778971434,0.2472490705549717,0.21487913839519024,0.20611601416021585
1,far_focus,81.364,38.389,24.141333333333332,17.0915,12.9,0.2526120329275727,0.2861959645524621,0.12826189817860723,0.12572884745895863,0.3118397486396134
2,fog_3d,82.536,38.099,21.808666666666667,13.848,9.3272,0.3405172619968653,0.29465220123529434,0.267667327367235,0.1960022029816173,0.1527800327166915
3,flash,73.214,35.215,22.19333333333333,15.201,10.1576,0.16484234342351556,0.18997187819331884,0.2009555185213685,0.31114772940054536,0.2026084519457072
4,color_quant,84.246,41.982,27.593333333333334,19.6825,12.9268,0.2271557506173849,0.2248977413401008,0.19817767851054668,0.19054530141875148,0.39633222366683185
5,low_light,79.838,39.445,25.722,18.664,13.7528,0.23320587212219834,0.26591971050947905,0.2684239372611046,0.19010252505540848,0.23256685421802104
6,xy_motion_blur,74.892,33.604,19.78,12.9045,8.9828,0.3228640519082546,0.2971927933394909,0.3076923922635615,0.3833008650690317,0.30497128749266267
7,z_motion_blur,68.778,31.325,18.764666666666667,12.6545,9.4368,0.3071786828804761,0.3303633164614439,0.3386012939736247,0.4330375059507787,0.4080226584337652
8,iso_noise,75.642,36.916,23.648,16.17,10.4836,0.1766329405363649,0.3855392262339592,0.27568525169044733,0.23350795079022646,0.2418374817352742
9,bit_error,78.124,36.034,21.552,14.023,7.4996,0.20070958975702524,0.22411477006971836,0.19217562838457525,0.31313955364748836,0.25358805409632623
10,h265_abr,84.946,42.03,26.951333333333334,17.8095,14.4436,0.17988699115812778,0.23078582808375356,0.31054760282859206,0.28266444336622953,0.22341406531631947
