,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,77.922,37.913,24.389333333333333,17.6725,13.6124,0.2600205219350755,0.21328106336295605,0.25869744969531894,0.3898822255432606,0.29099046532064676
1,far_focus,77.956,36.496,22.714666666666666,15.9125,11.9256,0.3685092097148299,0.3710341574624181,0.42770559480413795,0.3853174764662981,0.2580880937166512
2,fog_3d,80.576,36.895,20.577333333333332,12.8545,8.5964,0.21955363359302282,0.33925470896065235,0.3647865809034556,0.22332286392338574,0.2517181783914566
3,flash,66.824,31.819,19.872666666666667,13.2895,8.5832,0.3088107854127884,0.15847981069236994,0.24609460216015577,0.26359895011410117,0.1933943775948137
4,color_quant,81.404,40.473,26.402,18.463,11.5252,0.24912399984896183,0.23842863459140062,0.19080018345266583,0.2998950779438019,0.37651705043390393
5,low_light,73.73,36.049,22.946666666666665,15.8935,10.5388,0.17438711319118738,0.33224057126790285,0.24651061557233334,0.24877689825370908,0.32256796211004257
6,xy_motion_blur,70.058,30.841,17.613333333333333,11.2535,7.6568,0.28199843037873507,0.32209043484181166,0.2613680209033191,0.2851975983940065,0.4256569363642484
7,z_motion_blur,62.49,27.704,16.236666666666668,10.689,7.8936,0.2718239009846002,0.4417229532264173,0.34317965409718454,0.30030511040240526,0.25884839752689004
8,iso_noise,70.426,34.418,21.776,14.6075,9.1052,0.2586655877530575,0.3069002272095531,0.17748984904028475,0.2882051729829982,0.22324872482568026
9,bit_error,75.358,34.336,20.236666666666668,12.9795,6.7108,0.23920699674636126,0.19581942819058895,0.31275940453633666,0.2563119661062956,0.28810773603618145
10,h265_abr,82.77,40.951,26.096,17.0945,13.8304,0.24367185961455107,0.24969589803367853,0.27248042332939804,0.48103295755572617,0.37066366942599416
