,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,72.316,35.093,22.598,16.384,12.6628,0.3155725025571883,0.3762937565334141,0.2682321323081851,0.3712339117191732,0.2985240528360009
1,far_focus,72.762,33.593,20.752,14.492,10.8632,0.2825875929556787,0.2752216407097876,0.25649196235463023,0.2795336046256125,0.31711271265521646
2,fog_3d,79.328,35.575,19.662,12.1525,8.0692,0.2728540347889066,0.39009419188369066,0.3043692512437701,0.2651296374388039,0.13933577749412507
3,flash,42.012,18.624,10.43,6.0965,3.0776,0.196910533006303,0.1955341178108938,0.19057459733448923,0.16468732303474098,0.1266975050093606
4,color_quant,76.4,37.707,24.11466666666667,15.325,5.5184,0.31834436813369393,0.373564587906003,0.2786662704311311,0.28524112049490213,0.19009897974319756
5,low_light,47.642,19.449,9.013333333333334,3.1205,0.3828,0.28705867880489677,0.22369481762871146,0.23196874849963933,0.15282294643111527,0.0633250349201262
6,xy_motion_blur,63.67,27.478,15.605333333333334,9.978,6.7064,0.22818757151253521,0.3019060529768467,0.3162540285848081,0.23255310812965035,0.1309491521678865
7,z_motion_blur,56.154,24.741,14.378666666666666,9.349,6.884,0.2757248426787555,0.33863822603598237,0.3164247153326869,0.31074737617745996,0.3286460542585701
8,iso_noise,58.844,28.21,17.186666666666667,11.001,6.0588,0.2923540903721005,0.293263049563393,0.2793655487475917,0.1977120719384402,0.2294256640598178
9,bit_error,69.796,31.481,18.420666666666666,11.666,5.8704,0.2324237497523427,0.23024225537665188,0.2839997853152454,0.37199603440240026,0.2655943022109568
10,h265_abr,77.146,37.898,23.85333333333333,15.0395,12.1292,0.25332720833830535,0.23301529604941607,0.32943366514518857,0.3053373470902443,0.28832615027204156
