,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,79.356,38.738,25.115333333333332,18.2865,14.2072,0.3769358638674021,0.27636429108679295,0.2637190502136946,0.30931959487497807,0.3380548283457756
1,far_focus,79.364,37.201,23.130666666666666,16.2945,12.2248,0.33337369188666344,0.38791999593377113,0.3841635510325432,0.4135341886430979,0.46770330984145403
2,fog_3d,80.454,37.31,21.517333333333333,13.784,9.3632,0.42265903763473034,0.3786525810137391,0.4234352557687089,0.3606398300398723,0.32167838800523896
3,flash,70.8,34.113,21.414,14.531,9.5556,0.5100064687430859,0.49308038130402565,0.5749766677618027,0.4989877352491021,0.39778777211904526
4,color_quant,82.666,41.136,26.814666666666668,18.631,12.5588,0.3927732352167368,0.397044213488698,0.39432042371481657,0.3843043278902769,0.5637337956577539
5,low_light,75.244,36.888,23.871333333333332,17.084,12.4532,0.495187621563673,0.39183455146849155,0.36543719470500946,0.32564194221049547,0.4516612449660897
6,xy_motion_blur,73.534,33.161,19.486666666666668,12.703,8.7176,0.34784999024122953,0.5073279067873955,0.4743282422423363,0.43431193474680185,0.4765929449349642
7,z_motion_blur,65.858,29.677,17.551333333333332,11.5985,8.52,0.5608069896697998,0.5390409892424941,0.5012215487658978,0.526984203606844,0.5221552029252052
8,iso_noise,70.856,34.382,20.572,10.5965,2.614,0.5441613718867302,0.5007116016931832,0.44306743517518044,0.42666501412168145,0.28291639836970717
9,bit_error,76.704,35.409,21.068666666666665,13.789,7.44,0.1257542036473751,0.2758738547563553,0.204494658857584,0.3541075550019741,0.4057268537580967
10,h265_abr,82.706,40.863,25.91,16.648,13.4956,0.1925807073712349,0.23843837529420853,0.25517233833670616,0.4442510334774852,0.5455026826821268
