,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,63.752,31.273,20.177333333333333,14.45,10.8336,0.3032339778728783,0.1580983204767108,0.21007422066759318,0.12445631192531438,0.1765401529846713
1,contrast,61.188,29.618,18.514666666666667,11.4545,6.0612,0.3182765555102378,0.2666857223957777,0.2823697126004845,0.3363827058346942,0.31700417381944135
2,defocus_blur,59.104,28.015,16.254666666666665,10.295,6.5644,0.1355284070596099,0.16937566688284278,0.10214417206589133,0.1417264883639291,0.11615871320827864
3,elastic_transform,59.182,19.463,19.530666666666665,12.951,6.5352,0.25511543918401003,0.14431909075938165,0.1505167717114091,0.17525585601106286,0.21701778378337622
4,fog,52.968,23.787,13.7,9.7235,5.7624,0.3622818780131638,0.4079970645252615,0.2789602993289009,0.09832187229767442,0.13094471814110875
5,frost,56.908,23.501,13.156666666666666,9.5195,6.6316,0.197566480608657,0.11474857665598392,0.12786685058381408,0.13439490692690015,0.13720226695295423
6,gaussian_noise,59.988,28.588,17.586,11.681,7.686,0.281729469075799,0.35025722440332174,0.21892639622092247,0.24103249004110694,0.0947915791766718
7,glass_blur,58.948,26.319,11.111333333333333,7.196,4.7372,0.2323014927096665,0.17929027858190238,0.15549360471777618,0.15289325383491814,0.13062178262043744
8,impulse_noise,58.42,27.7,17.617333333333335,11.784,7.9984,0.3229698503855616,0.4050915059633553,0.3717875082511455,0.34592950507067144,0.2609688105294481
9,jpeg_compression,60.658,29.182,18.9,12.6955,8.4148,0.15341293415986001,0.20142366969957948,0.12368225958198309,0.18797413026914,0.14909495483152568
10,motion_blur,61.824,29.287,17.474666666666668,10.566,6.8172,0.17861292115412652,0.1499077589251101,0.1553617869503796,0.13988555828109384,0.12349742674268782
11,pixelate,63.074,31.44,20.053333333333335,13.472,9.4392,0.25929526053369045,0.2655471353791654,0.200452747521922,0.15970167703926563,0.24915100680664182
12,shot_noise,60.158,28.549,17.59,11.3865,7.9732,0.37112010503187776,0.23798887315206227,0.27072023949585855,0.2631033272482455,0.10454838612349704
13,snow,53.132,20.037,13.745333333333333,8.173,5.7212,0.12986783077940345,0.11229552887380123,0.1153554602060467,0.12389708671253175,0.13312921184115112
14,zoom_blur,49.072,20.889,12.982,8.168,5.4576,0.1335203240159899,0.13252402981743217,0.19224606174975634,0.15983799123205245,0.11932859546504915
