,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,74.506,36.172,22.980666666666668,15.932,11.2484,0.27929424145258963,0.3512321524322033,0.3202113569714129,0.2985904780216515,0.2670363304205239
1,contrast,75.472,36.991,23.362,13.8495,5.7124,0.3018630254082382,0.3778978493064642,0.30013078916817904,0.2677383148111403,0.14072149444837123
2,defocus_blur,64.108,29.469,15.706,9.0745,5.4752,0.29591418197378516,0.3136385059915483,0.34481156524270773,0.2801878445316106,0.24668835662305355
3,elastic_transform,70.544,24.208,21.568666666666665,13.533,5.3932,0.1855436386540532,0.29442568961530924,0.27541067195124924,0.23777131084352732,0.32705120788887143
4,fog,71.172,34.053,20.689333333333334,13.9865,8.338,0.34294258058071136,0.412921198643744,0.3326234952546656,0.4779590703547001,0.2790792006999254
5,frost,61.75,22.949,11.342,8.229,5.2672,0.30663722613826394,0.343864158494398,0.33983385493047535,0.3326695207506418,0.3482936176005751
6,gaussian_noise,67.85,31.096,17.371333333333332,9.4545,3.5036,0.3133644792251289,0.328772806446068,0.25479315989650786,0.23775244178250432,0.14525813341606408
7,glass_blur,64.09,27.07,10.375333333333334,6.094,3.2964,0.31683173310011625,0.24593301373533905,0.2717269586864859,0.2711434760130942,0.3000898458994925
8,impulse_noise,65.274,28.956,17.203333333333333,8.8345,3.4216,0.19682405260391533,0.18678004876710474,0.2511123812291771,0.2090089083649218,0.12208991998340935
9,jpeg_compression,69.052,33.186,21.426666666666666,14.484,9.8036,0.32071609050035477,0.2781888931058347,0.2931463089771569,0.2266579894348979,0.15776679012924433
10,motion_blur,69.832,32.107,18.098666666666666,10.3105,6.6048,0.27102682273834944,0.23840715223923326,0.22127936873584986,0.3825913807377219,0.3194232191890478
11,pixelate,71.842,34.756,21.675333333333334,13.838,9.522,0.23324566637165844,0.22475117549765855,0.20813072752207518,0.34517010871786624,0.2835629952605814
12,shot_noise,66.788,29.673,16.404,7.2345,2.852,0.2617603410035372,0.2636026758700609,0.15485178015660495,0.12691250478383154,0.10430290759541094
13,snow,59.954,19.392,12.812666666666667,5.934,3.7208,0.3319696048274636,0.34395752544514835,0.21313166781328619,0.22590480302460492,0.21053182613104582
14,zoom_blur,56.522,23.701,13.326,8.2485,5.154,0.1983437417075038,0.3279203036800027,0.2502796675544232,0.17825447348877788,0.28943775221705437
