,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,70.554,34.064,21.658666666666665,13.6605,7.7812,0.2745616249740124,0.3101082295179367,0.38707532826811075,0.24985581752844155,0.16480038268491626
1,brownish_noise,72.18,33.296,20.026666666666667,13.131,8.7456,0.3587090619839728,0.35325908055529,0.34061775892041624,0.3302610609680414,0.37137358356267214
2,caustic_refraction,69.412,33.212,20.059333333333335,13.4395,9.0756,0.2583798076957464,0.29650062322616577,0.2739026378840208,0.4101294921711087,0.41235044645145535
3,checkerboard_cutout,70.388,34.039,21.52466666666667,15.3125,11.3028,0.321363961789757,0.29430867033079267,0.2823332194238901,0.3622251912020147,0.24544726451858878
4,cocentric_sine_waves,57.162,18.172,5.338,2.818,1.9216,0.3450941601768136,0.5336467092856765,0.6715437537059188,0.7118108430877328,0.5816858410835266
5,inverse_sparkles,48.924,19.919,8.267333333333333,2.996,2.2696,0.3511401582509279,0.37665531504899263,0.34700365038588643,0.3008054783567786,0.41203669644892216
6,perlin_noise,73.526,36.331,23.845333333333333,16.7935,12.5256,0.29124362068250775,0.29469608422368765,0.3069541514851153,0.31632371060550213,0.32572974963113666
7,plasma_noise,54.742,17.805,8.172,4.582,2.8684,0.3528359499759972,0.3115124637261033,0.3577669053338468,0.344717062311247,0.3193332916125655
8,single_frequency_greyscale,65.302,29.308,17.327333333333332,5.191,4.0104,0.2633909834548831,0.3078512931242585,0.24111473793163896,0.22922974289394915,0.19970310013741255
9,sparkles,73.934,36.243,23.481333333333332,16.2445,12.2444,0.30442907847464085,0.4296829039230943,0.4218541085720062,0.34726475179195404,0.3038652930408716
