,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,70.1,34.131,21.976666666666667,14.114,8.0728,0.523607075214386,0.15666928887367249,0.3025691509246826,0.1399381458759308,0.10591797530651093
1,brownish_noise,72.792,34.696,21.998,15.604,11.6152,0.6055132746696472,0.314504474401474,0.6345124244689941,0.2818247675895691,0.16773484647274017
2,caustic_refraction,69.764,33.542,20.326,13.683,8.9848,0.2583078145980835,0.7000497579574585,0.4141330122947693,0.647843062877655,0.34024837613105774
3,checkerboard_cutout,70.036,33.834,21.610666666666667,15.431,11.6096,0.5494061708450317,0.953974187374115,0.33641675114631653,0.337192565202713,0.5858029723167419
4,cocentric_sine_waves,63.512,24.937,8.924666666666667,4.806,3.1512,0.2300640493631363,0.17889562249183655,0.15849916636943817,0.3130631744861603,0.12124127149581909
5,inverse_sparkles,60.074,26.954,12.542,4.0465,2.9608,0.6370972990989685,0.13924233615398407,0.2115233838558197,0.16736182570457458,0.26554951071739197
6,perlin_noise,75.238,37.35,24.677333333333333,17.7375,13.492,0.7357727289199829,0.1675906777381897,0.5327231287956238,0.19481442868709564,0.27574315667152405
7,plasma_noise,62.142,24.861,13.425333333333333,8.545,5.6604,0.11488001048564911,0.7810925245285034,0.30514848232269287,0.2935478091239929,0.4920738935470581
8,single_frequency_greyscale,64.828,29.725,18.060666666666666,5.987,4.3004,0.16842983663082123,0.5677863657474518,0.4096655249595642,0.20859993994235992,0.24932391941547394
9,sparkles,74.136,36.614,23.855333333333334,16.734,12.734,0.8026947975158691,0.7836040258407593,0.6671610474586487,0.12365125864744186,0.12313774228096008
