,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,78.698,38.955,25.658,18.115,13.0604,0.3630448183976114,0.41761787235736847,0.3018799195997417,0.2118252208456397,0.25000030221417546
1,brownish_noise,80.332,39.542,25.880666666666666,18.961,14.818,0.2940442282706499,0.35634130891412497,0.37032585544511676,0.265350129455328,0.3038058914244175
2,caustic_refraction,76.648,37.304,23.355333333333334,16.4405,11.8364,0.34432912385091186,0.3142325393855572,0.27658989280462265,0.374670994002372,0.332419543992728
3,checkerboard_cutout,77.474,37.568,24.073333333333334,17.1865,13.0188,0.3756927172653377,0.27519021462649107,0.26576982997357845,0.20291928597725928,0.40014533465728164
4,cocentric_sine_waves,66.696,25.015,11.656666666666666,7.5755,5.724,0.336889355443418,0.35296341544017196,0.27752088056877255,0.5076871523633599,0.43865864630788565
5,inverse_sparkles,63.26,29.973,16.798666666666666,7.408,5.5996,0.27026067627593875,0.29718033922836185,0.2152888928540051,0.28011902375146747,0.36127085937187076
6,perlin_noise,78.83,39.169,25.904,18.8115,14.562,0.3847065516747534,0.28161616530269384,0.28822257136926055,0.24652448296546936,0.2132286224514246
7,plasma_noise,73.306,32.194,19.159333333333333,13.175,9.6056,0.3540684594772756,0.368030761834234,0.28675802424550056,0.3500931393355131,0.18487296206876636
8,single_frequency_greyscale,74.196,35.107,22.042666666666666,11.303,8.4584,0.32289707008749247,0.29778748378157616,0.2960778009146452,0.3055614596232772,0.21927932556718588
9,sparkles,80.376,39.398,25.418666666666667,17.9275,13.8224,0.44767953641712666,0.34614548459649086,0.3871485940180719,0.2979466877877712,0.3254997390322387
