,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,56.568,25.884,16.456,10.46,5.3872,0.3364797458052635,0.3379597896710038,0.2603023643605411,0.3567241430282593,0.3323455760255456
1,brownish_noise,70.606,33.22,20.466666666666665,14.1105,10.158,0.3772244295105338,0.335114773362875,0.38986431434750557,0.36729586217552423,0.4301606980152428
2,caustic_refraction,65.666,31.216,18.534,12.259,8.2096,0.3923127599991858,0.37141335289925337,0.42468298273161054,0.3352422686293721,0.32685488276183605
3,checkerboard_cutout,63.44,29.131,17.005333333333333,10.944,7.0812,0.35904093086719513,0.4680657163262367,0.47538989409804344,0.37051514256745577,0.3547347215935588
4,cocentric_sine_waves,46.23,11.316,3.0453333333333332,1.542,1.0636,0.46328116208314896,0.6798012689687312,0.4392957268282771,0.6067522633820772,0.5629089847207069
5,inverse_sparkles,41.726,17.469,7.780666666666667,2.63,2.016,0.5855857292190194,0.4645256665535271,0.5014951834455132,0.5214013648219407,0.5686466572806239
6,perlin_noise,67.758,33.091,21.562666666666665,14.4675,10.37,0.4754942646250129,0.354266157373786,0.31869920855388045,0.40358806075528264,0.36484537832438946
7,plasma_noise,56.282,19.798,9.754,5.8425,3.7244,0.4059933591634035,0.3758427142165601,0.4653031714260578,0.5405272645875812,0.5429847510531545
8,single_frequency_greyscale,51.708,19.556,10.376666666666667,2.4875,1.8076,0.4207523725926876,0.3866776693612337,0.5130998007953167,0.41222159285098314,0.5515069514513016
9,sparkles,72.144,35.031,22.082666666666668,14.3875,10.474,0.4054383523762226,0.38739386200904846,0.3418964883312583,0.21453130338340998,0.4279513186775148
