,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,56.56,25.661,15.091333333333333,7.489,3.4436,0.12495335936546326,0.1443660706281662,0.4215638041496277,0.19125141203403473,0.1405145674943924
1,brownish_noise,67.428,30.711,18.266666666666666,12.0595,8.382,0.15470242500305176,0.09319327026605606,0.08412351459264755,0.3128780424594879,0.33876776695251465
2,caustic_refraction,61.604,28.905,16.638,10.8295,7.012,0.7897728681564331,0.8057611584663391,0.47435057163238525,0.5733588337898254,0.11753888428211212
3,checkerboard_cutout,62.16,28.695,16.904666666666667,10.9065,7.1644,0.27447664737701416,0.10441537201404572,0.07981083542108536,0.1229894831776619,0.14635328948497772
4,cocentric_sine_waves,39.206,8.971,1.8393333333333333,0.8775,0.5456,0.4746570885181427,0.4222687780857086,0.37097349762916565,0.8165198564529419,0.5941193103790283
5,inverse_sparkles,29.28,11.559,4.429333333333333,1.337,1.0096,0.390272855758667,0.15152226388454437,0.2538679540157318,0.47890034317970276,0.10635804384946823
6,perlin_noise,64.096,31.216,20.113333333333333,13.2635,9.3208,0.07455703616142273,0.09656527638435364,0.06258229911327362,0.1637614518404007,0.10914333164691925
7,plasma_noise,46.764,14.282,6.417333333333334,3.633,2.2544,0.1358352154493332,0.12923157215118408,0.1374036967754364,0.47431284189224243,0.26425081491470337
8,single_frequency_greyscale,38.148,12.809,6.222,1.0085,0.7224,0.2283337563276291,0.09190096706151962,0.04145396873354912,0.11583396792411804,0.15204161405563354
9,sparkles,69.696,33.668,21.254666666666665,13.712,9.8992,0.11019998788833618,0.07134537398815155,0.4221595227718353,0.08249416947364807,0.27873656153678894
