,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,73.598,35.991,23.351333333333333,15.6365,9.9324,0.5017459392547607,0.36499884724617004,0.6174748539924622,0.6009882688522339,0.24203908443450928
1,brownish_noise,75.704,36.893,23.83,17.1575,13.0752,0.13793228566646576,0.6991214156150818,0.5648792386054993,0.8997798562049866,0.8164090514183044
2,caustic_refraction,71.058,34.198,20.904,14.2785,9.888,0.14511632919311523,0.4223233163356781,0.5321423411369324,0.926461935043335,0.875452995300293
3,checkerboard_cutout,70.756,33.888,21.265333333333334,14.9385,11.0788,0.3432943820953369,0.48452144861221313,0.5051158964633942,0.5787156224250793,0.7788565754890442
4,cocentric_sine_waves,64.18,24.519,9.602666666666666,5.545,3.6636,0.07472558319568634,0.9003243446350098,0.46406757831573486,0.5363669395446777,0.3511662483215332
5,inverse_sparkles,56.966,24.735,11.945333333333334,5.047,3.8512,0.4289696514606476,0.21529121696949005,0.7704944014549255,0.28153565526008606,0.4483184218406677
6,perlin_noise,73.146,36.165,23.772666666666666,16.8255,12.6228,0.2908998429775238,0.16594873368740082,0.22622521221637726,0.34818658232688904,0.31202059984207153
7,plasma_noise,67.172,27.145,14.630666666666666,9.2285,6.1376,0.12484092265367508,0.44709697365760803,0.3312501609325409,0.9400071501731873,0.25301140546798706
8,single_frequency_greyscale,68.484,31.735,19.638,8.9975,6.7816,0.5221882462501526,0.5235738158226013,0.6447088122367859,0.5584374070167542,0.530097484588623
9,sparkles,75.73,36.844,23.438666666666666,16.0035,11.9916,0.47355392575263977,0.5846385359764099,0.11555062234401703,0.1717049479484558,0.3775726854801178
