,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,60.758,27.738,16.434,8.0705,3.4064,0.24081507371738553,0.21827357588335872,0.30310549470596015,0.27458634227514267,0.19277788745239377
1,brownish_noise,69.058,32.175,19.72533333333333,13.39,9.716,0.3023404802661389,0.3099978677928448,0.23420401103794575,0.24663981213234365,0.2571135424077511
2,caustic_refraction,62.578,29.385,16.926666666666666,11.1235,7.222,0.270234698895365,0.279388424474746,0.2203765781596303,0.2854189604986459,0.21113840118050575
3,checkerboard_cutout,62.382,28.556,16.616,10.546,6.7812,0.2877302342094481,0.2541329162195325,0.3138798358850181,0.35798097332008183,0.2900575161911547
4,cocentric_sine_waves,40.78,9.677,1.9113333333333333,0.9795,0.566,0.30619658529758453,0.43234257912263274,0.4312632204964757,0.6187087642028928,0.5117617822252214
5,inverse_sparkles,31.668,12.794,5.156666666666666,1.5825,1.1804,0.19438812020234764,0.2613144894130528,0.33760992460884154,0.21403315872885287,0.231974377296865
6,perlin_noise,64.994,31.59,20.405333333333335,13.3475,9.3196,0.18248902074992657,0.24248667107895017,0.21050661569461226,0.18676212639547884,0.2262274483218789
7,plasma_noise,50.1,16.327,7.5906666666666665,4.4025,2.762,0.2960563604719937,0.27765768952667713,0.34102968755178154,0.30654092226177454,0.2195996381342411
8,single_frequency_greyscale,38.554,11.874,5.502666666666666,0.9925,0.7852,0.25399122200906277,0.2521733706817031,0.34810865530744195,0.4729621836449951,0.4902073312550783
9,sparkles,70.5,33.784,20.791333333333334,12.648,8.9156,0.2567038177512586,0.33951227040961385,0.2132387445308268,0.1431132066063583,0.21745105856098235
