,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,76.204,37.179,24.008666666666667,16.4825,11.3948,0.22116820234805346,0.29778802022337914,0.31256874185055494,0.3604815728031099,0.2784161954186857
1,brownish_noise,77.12,36.836,23.376,16.5435,12.4456,0.228923081420362,0.3661503857001662,0.30401300359517336,0.42297541443258524,0.31073528341948986
2,caustic_refraction,74.932,36.421,22.625333333333334,15.765,11.2004,0.24921734537929296,0.22251523099839687,0.25710393907502294,0.2537095444276929,0.29052776750177145
3,checkerboard_cutout,76.612,37.676,24.416,17.7675,13.6924,0.31341626355424523,0.13209478836506605,0.31427625473588705,0.21791490772739053,0.18352569872513413
4,cocentric_sine_waves,66.802,25.188,9.046666666666667,5.1045,3.4988,0.3331733690574765,0.4293071744032204,0.47340031154453754,0.5088486480526626,0.4822854013182223
5,inverse_sparkles,60.138,27.034,13.102,4.9625,3.73,0.25275733042508364,0.2612665630877018,0.24048508889973164,0.3541489066556096,0.2405783070717007
6,perlin_noise,79.076,39.206,25.905333333333335,18.744,14.3828,0.20157823665067554,0.3282616059295833,0.28222357481718063,0.23865462187677622,0.15168383112177253
7,plasma_noise,67.258,27.606,15.497333333333334,10.083,6.958,0.2488918979652226,0.48876078613102436,0.3401173045858741,0.34178448421880603,0.27052523754537106
8,single_frequency_greyscale,72.814,34.451,21.794666666666668,9.5225,7.44,0.24804134434089065,0.3984632343053818,0.3562551895156503,0.3443693704903126,0.5713985962793231
9,sparkles,78.6,39.026,25.598666666666666,18.276,14.0892,0.3195959653239697,0.20286108320578933,0.29900810215622187,0.28503002040088177,0.18898901692591608
