,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,81.044,39.882,26.032666666666668,18.2535,13.014,0.21363177197054029,0.2248053066432476,0.17744982987642288,0.2459273198619485,0.22117275884374976
1,brownish_noise,81.088,39.557,25.648666666666667,18.7055,14.4848,0.2860882533714175,0.2840730673633516,0.3282730798237026,0.2497354820370674,0.325878681614995
2,caustic_refraction,79.316,38.799,24.39666666666667,17.1725,12.3616,0.27027352526783943,0.2546641081571579,0.41653336910530925,0.43500574911013246,0.4140603970736265
3,checkerboard_cutout,80.684,39.792,26.13533333333333,19.16,14.9548,0.3337374278344214,0.30429912079125643,0.3463444896042347,0.30702465400099754,0.3845039284788072
4,cocentric_sine_waves,74.958,32.575,15.932666666666666,10.205,7.1444,0.22095458349213004,0.2939154184423387,0.4724111948162317,0.47830784041434526,0.43760625924915075
5,inverse_sparkles,72.896,34.609,19.942666666666668,10.128,7.696,0.2312214565463364,0.24862770969048142,0.25914520444348454,0.25767949293367565,0.18947539012879133
6,perlin_noise,81.206,40.294,26.64,19.3225,14.9348,0.37535788025707006,0.2631133757531643,0.3362141507677734,0.35459719970822334,0.35663384199142456
7,plasma_noise,73.364,31.442,18.140666666666668,12.0975,8.5124,0.28867536690086126,0.5403201230801642,0.49185620434582233,0.3457321454770863,0.33957239240407944
8,single_frequency_greyscale,78.658,38.416,25.128,15.922,12.3228,0.24059962388128042,0.27247723285108805,0.25939203961752355,0.3177803938742727,0.18794364668428898
9,sparkles,82.072,40.799,26.857333333333333,19.3635,15.1464,0.3435008153319359,0.27516836300492287,0.3065461851656437,0.21201737318187952,0.21708859875798225
