,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,79.87,39.444,25.900666666666666,18.4715,13.4464,0.3115491820499301,0.37645795568823814,0.37140120938420296,0.10064438451081514,0.2864938983693719
1,brownish_noise,80.64,39.805,26.216,19.398,15.2696,0.4300524750724435,0.406805451028049,0.44733659364283085,0.25576319452375174,0.3420769851654768
2,caustic_refraction,78.288,38.303,24.23,17.2135,12.7224,0.5085290055721998,0.34740762412548065,0.2761807907372713,0.14584407303482294,0.30883988179266453
3,checkerboard_cutout,79.748,39.47,25.818666666666665,19.0075,14.8452,0.28964873868972063,0.42228118889033794,0.4544848222285509,0.5140041764825583,0.24151092302054167
4,cocentric_sine_waves,75.942,34.979,19.254666666666665,13.112,9.84,0.2712234612554312,0.4854462742805481,0.3903115335851908,0.43461393751204014,0.43648289795964956
5,inverse_sparkles,71.484,34.747,20.290666666666667,10.1655,7.6452,0.3270238935947418,0.5453693643212318,0.401331489905715,0.16488659288734198,0.2722099404782057
6,perlin_noise,79.794,39.678,26.301333333333332,19.331,15.1132,0.42753015737980604,0.3561264332383871,0.34998189844191074,0.31594565883278847,0.29560710676014423
7,plasma_noise,76.332,35.374,22.014,15.6125,11.8664,0.21333599463105202,0.3929734639823437,0.4123457670211792,0.38053787406533957,0.3639203691855073
8,single_frequency_greyscale,78.16,38.011,24.672,14.3265,11.0236,0.44650025852024555,0.3665941022336483,0.13738141860812902,0.31880285032093525,0.5046556200832129
9,sparkles,81.242,40.172,26.498,19.208,15.0776,0.3283060248941183,0.3563417764380574,0.41122408397495747,0.2495949137955904,0.3185827871784568
