,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,44.138,18.902,11.247333333333334,6.0,2.5936,0.33503463864326477,0.5769996047019958,0.14079879224300385,0.23920395970344543,0.25593236088752747
1,brownish_noise,63.392,28.403,16.488666666666667,10.445,6.9572,0.1612275093793869,0.16004697978496552,0.13350588083267212,0.10676635056734085,0.1899573653936386
2,caustic_refraction,57.114,26.684,15.111333333333333,9.712,6.2228,0.07714992761611938,0.11669037491083145,0.1698141098022461,0.3349379599094391,0.1405581533908844
3,checkerboard_cutout,56.502,25.4,14.208666666666666,8.613,5.2184,0.2921302020549774,0.15662701427936554,0.6570194959640503,0.3199586570262909,0.23288704454898834
4,cocentric_sine_waves,35.92,7.864,1.6066666666666667,0.7605,0.4868,0.25021255016326904,0.3102078437805176,0.5186741352081299,0.9910645484924316,0.8516862392425537
5,inverse_sparkles,33.49,13.435,5.511333333333333,1.609,1.1924,0.5160645246505737,0.5163326263427734,0.39116883277893066,0.3502350449562073,0.21510884165763855
6,perlin_noise,57.718,27.805,17.804666666666666,11.122,7.4276,0.16490262746810913,0.18729467689990997,0.12514878809452057,0.071904756128788,0.19334179162979126
7,plasma_noise,43.696,12.948,5.672,3.2135,1.974,0.21071220934391022,0.5893922448158264,0.22707656025886536,0.277321994304657,0.13371720910072327
8,single_frequency_greyscale,37.148,11.932,5.572666666666667,0.906,0.6932,0.21324287354946136,0.24103893339633942,0.3518875241279602,0.6572780013084412,0.8411849141120911
9,sparkles,65.01,31.228,19.115333333333332,11.1755,7.6704,0.1926683634519577,0.17949910461902618,0.06902272999286652,0.05654764547944069,0.07064966857433319
