,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,68.874,33.16,21.243333333333332,14.479,9.6664,0.7034848853945732,0.5860054958611727,0.5592855419963598,0.546420675702393,0.5489069856703281
1,brownish_noise,73.746,35.131,21.868666666666666,15.168,11.1592,0.37899485137313604,0.48199141025543213,0.5294892825186253,0.5000338852405548,0.5015554651618004
2,caustic_refraction,68.09,32.373,19.28,12.8345,8.8636,0.575979720801115,0.316868556663394,0.4999247156083584,0.37381109315901995,0.5851682852953672
3,checkerboard_cutout,67.85,31.756,19.592,13.211,9.158,0.3470061430707574,0.5425053909420967,0.5336137227714062,0.5280792973935604,0.5657930821180344
4,cocentric_sine_waves,54.432,18.998,8.189333333333334,4.8895,3.5832,0.3160368427634239,0.6032574027776718,0.4264018125832081,0.31818248331546783,0.4185696095228195
5,inverse_sparkles,56.76,25.111,13.596,6.4585,4.9688,0.36506878212094307,0.5082686617970467,0.6373633276671171,0.5469949748367071,0.46171730384230614
6,perlin_noise,70.728,34.821,22.711333333333332,15.469,11.2032,0.35692625492811203,0.5066654942929745,0.4469909593462944,0.5455354750156403,0.5061124227941036
7,plasma_noise,58.246,22.92,12.879333333333333,8.5755,6.0776,0.469234524294734,0.3988148458302021,0.5139890080317855,0.48647377267479897,0.4022626206278801
8,single_frequency_greyscale,65.458,30.2,18.876,10.077,7.798,0.4404701963067055,0.35898101329803467,0.653668375685811,0.5717030614614487,0.2788401572033763
9,sparkles,73.79,35.413,22.540666666666667,15.1915,11.2176,0.5244193710386753,0.4990730006247759,0.5780493710190058,0.4892325159162283,0.5419816821813583
