,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,76.198,37.089,23.988,16.525,11.506,0.3075077817775309,0.21350189624354243,0.1866541588678956,0.16074978653341532,0.1455630026757717
1,brownish_noise,78.396,38.348,24.781333333333333,17.866,13.598,0.3931142857763916,0.2485049068927765,0.4048461294732988,0.3263542321510613,0.40015710052102804
2,caustic_refraction,74.67,36.103,22.138,15.2495,10.6036,0.27384151378646493,0.2529212161898613,0.21436260547488928,0.3784428844228387,0.14648764859884977
3,checkerboard_cutout,76.44,37.184,23.938666666666666,17.0295,12.752,0.2644870728254318,0.2955866898410022,0.20037725754082203,0.1318932520225644,0.29273503087460995
4,cocentric_sine_waves,62.89,21.757,7.859333333333334,4.5375,3.0852,0.26300152484327555,0.3054627366364002,0.4493066845461726,0.49009231361560524,0.4005948358681053
5,inverse_sparkles,57.128,24.566,11.764,4.962,3.7876,0.223255162127316,0.2806723415851593,0.23210958437994123,0.272028015460819,0.33051528583746403
6,perlin_noise,76.65,37.972,25.02466666666667,17.7965,13.3872,0.2646042085252702,0.17214481509290636,0.2018485242733732,0.24171827943064272,0.24218774191103876
7,plasma_noise,67.83,25.311,12.766666666666667,7.59,4.8384,0.28971675783395767,0.45983379520475864,0.4530853917822242,0.5119676212780178,0.5011626365594566
8,single_frequency_greyscale,70.922,32.764,20.089333333333332,7.5785,5.478,0.22308570006862283,0.3021520064212382,0.2801351333037019,0.40975136077031493,0.2598066395148635
9,sparkles,78.914,38.726,25.012666666666668,17.3005,13.078,0.23256696946918964,0.2990124342031777,0.3042399692349136,0.1239172574132681,0.25450710114091635
