,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,82.008,40.499,26.422,18.858,13.8124,0.35303717851638794,0.07487069815397263,0.19378924369812012,0.3448212146759033,0.23045235872268677
1,brownish_noise,83.398,41.246,27.125333333333334,20.081,15.7624,0.5803939998149872,0.7740813195705414,0.1738283932209015,0.27455824613571167,0.3950490355491638
2,caustic_refraction,80.99,39.642,25.242,17.937,13.0764,0.22616074979305267,0.8489471673965454,0.19310002028942108,0.27971068024635315,0.15990012884140015
3,checkerboard_cutout,81.968,40.431,26.307333333333332,19.2335,14.8376,0.23883022367954254,0.2060057818889618,0.8291739970445633,0.19777905941009521,0.17289195954799652
4,cocentric_sine_waves,78.258,35.069,20.708,14.4905,11.156,0.670483261346817,0.5163625478744507,0.15202082693576813,0.45377111434936523,0.2959602177143097
5,inverse_sparkles,77.418,37.623,21.957333333333334,10.8525,8.186,0.2017008513212204,0.26240530610084534,0.154282808303833,0.13817374408245087,0.3589480221271515
6,perlin_noise,82.69,41.101,27.175333333333334,19.7725,15.178,0.829944908618927,0.3624921441078186,0.08125488460063934,0.065192811191082,0.2926402986049652
7,plasma_noise,78.438,36.333,22.838,16.3715,12.4572,0.5302232503890991,0.4051405191421509,0.26783815026283264,0.14515173435211182,0.08033021539449692
8,single_frequency_greyscale,80.08,39.243,25.488666666666667,14.9075,11.0224,0.22728772461414337,0.2162381112575531,0.27691182494163513,0.4539697468280792,0.26062604784965515
9,sparkles,83.82,41.657,27.427333333333333,19.8935,15.5668,0.17940811812877655,0.11788232624530792,0.11126719415187836,0.9167889133095741,0.05723917484283447
