,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,76.138,37.424,24.300666666666668,16.434,10.5428,0.36837355233728886,0.23384873755276203,0.27968485094606876,0.38519519474357367,0.3032676484435797
1,brownish_noise,77.952,38.267,25.069333333333333,18.3865,14.374,0.4137505032122135,0.2766142385080457,0.34728431422263384,0.29429847514256835,0.27575379610061646
2,caustic_refraction,75.29,36.454,22.808666666666667,16.0545,11.6832,0.3175585940480232,0.28277898393571377,0.33241097070276737,0.2268555797636509,0.3648074036464095
3,checkerboard_cutout,76.238,37.319,24.053333333333335,17.494,13.3484,0.37805455084890127,0.3574363496154547,0.21904112584888935,0.3665997702628374,0.3599258791655302
4,cocentric_sine_waves,68.936,30.394,16.454666666666668,11.1205,8.3208,0.36086140014231205,0.39240456372499466,0.39542042557150126,0.35683098807930946,0.3595891669392586
5,inverse_sparkles,68.86,32.986,18.346666666666668,7.8955,5.8624,0.3278725575655699,0.3831760627217591,0.42441273480653763,0.25522821489721537,0.33283629920333624
6,perlin_noise,77.048,38.185,25.313333333333333,18.4095,14.2852,0.4658309193328023,0.4251632336527109,0.32673973217606544,0.3036322835832834,0.2884737001731992
7,plasma_noise,72.558,33.653,21.200666666666667,15.1745,11.5828,0.3094954863190651,0.27567992359399796,0.3122357754036784,0.26092331670224667,0.35137572325766087
8,single_frequency_greyscale,73.04,35.275,22.667333333333332,12.7405,9.5,0.303746628575027,0.38068647868931293,0.287262886762619,0.31590497959405184,0.15831408882513642
9,sparkles,78.732,38.909,25.393333333333334,18.0995,13.9112,0.4758243039250374,0.40242444910109043,0.39642501063644886,0.487502621486783,0.3188403258100152
