,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,74.248,36.276,23.358666666666668,15.789,9.9956,0.5355076137930155,0.368877287954092,0.5403737109154463,0.2534378138370812,0.29226208897307515
1,brownish_noise,77.146,37.773,24.511333333333333,17.7465,13.6624,0.3729136101901531,0.43173094652593136,0.4576446251012385,0.31216755509376526,0.2501792935654521
2,caustic_refraction,72.742,35.12,21.722,15.033,10.7168,0.39851028472185135,0.45528021454811096,0.21239312179386616,0.3751897495239973,0.15470020985230803
3,checkerboard_cutout,72.982,34.885,21.898,15.2245,11.1204,0.3507317993789911,0.363604336977005,0.29663774091750383,0.12686328776180744,0.3311276827007532
4,cocentric_sine_waves,56.468,18.398,7.6706666666666665,4.5505,3.3616,0.25113021954894066,0.4748669732362032,0.2847017745953053,0.46775037702172995,0.2674338957294822
5,inverse_sparkles,56.606,26.767,14.647333333333334,6.5195,4.9116,0.31891333032399416,0.39202218130230904,0.47596717067062855,0.1729428288526833,0.3037028890103102
6,perlin_noise,75.17,37.23,24.57133333333333,17.6975,13.5684,0.4005366675555706,0.4435524274595082,0.5641413228586316,0.2914895648136735,0.5309546804055572
7,plasma_noise,68.81,29.349,17.271333333333335,11.657,8.4016,0.2390125459060073,0.2446860373020172,0.19152999529615045,0.19500820338726044,0.35539432242512703
8,single_frequency_greyscale,67.15,30.59,18.746,7.637,5.6016,0.5134312799200416,0.4876666576601565,0.5805498268455267,0.36480926536023617,0.42492697201669216
9,sparkles,77.322,37.709,24.186,16.6865,12.6844,0.48474747221916914,0.5174802746623755,0.4876759219914675,0.33981166733428836,0.34435741417109966
