,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,79.002,39.082,25.709333333333333,18.012,12.4132,0.21698336582630873,0.15503163961693645,0.1415959782898426,0.21903805481269956,0.23773024743422866
1,brownish_noise,80.092,39.578,26.052666666666667,19.277,15.1328,0.3012575558386743,0.248260585591197,0.21810123417526484,0.1685089385136962,0.20800501760095358
2,caustic_refraction,77.496,37.873,23.854666666666667,16.827,12.276,0.34272843413054943,0.2267788965255022,0.2006305381655693,0.3291836818680167,0.30218855012208223
3,checkerboard_cutout,78.578,38.761,25.300666666666668,18.562,14.3536,0.24066589726135135,0.22066138871014118,0.2760954424738884,0.2506032194942236,0.38408493623137474
4,cocentric_sine_waves,76.004,36.347,21.616,15.094,11.3132,0.28828223515301943,0.20424062572419643,0.34925045631825924,0.34496505092829466,0.31367547530680895
5,inverse_sparkles,67.812,32.763,18.903333333333332,8.5415,6.4332,0.2904733279719949,0.2886055875569582,0.2880756612867117,0.2800410739146173,0.3160596499219537
6,perlin_noise,79.23,39.343,26.104666666666667,19.117,14.9492,0.3068971233442426,0.3016975154168904,0.27965803584083915,0.2378500245977193,0.14251603523734957
7,plasma_noise,75.97,35.451,22.108666666666668,15.712,11.9204,0.19865808822214603,0.22152568376623094,0.32289754366502166,0.28890661196783185,0.2202801164239645
8,single_frequency_greyscale,75.83,36.74,23.679333333333332,12.8785,9.6796,0.26659880951046944,0.3186436267569661,0.2881963844411075,0.23858412727713585,0.40139179583638906
9,sparkles,80.386,39.792,26.129333333333335,18.646,14.4776,0.2173247430473566,0.2734587490558624,0.17951693758368492,0.2366445017978549,0.31110328109934926
