,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,78.682,38.966,25.592,17.798,12.1988,0.26112867100164294,0.1479897047393024,0.2149234558455646,0.23098962754011154,0.24646617472171783
1,brownish_noise,79.72,39.379,25.871333333333332,19.1615,15.046,0.21588594932109118,0.22464371239766479,0.3233225364238024,0.24703972646966577,0.1934344763867557
2,caustic_refraction,76.652,37.193,23.347333333333335,16.3735,11.6852,0.23980315355584025,0.19025525823235512,0.21316993655636907,0.2542284703813493,0.2641981514170766
3,checkerboard_cutout,77.862,38.18,24.744666666666667,17.956,13.828,0.27842407999560237,0.21774808503687382,0.20963490335270762,0.23237555660307407,0.20309014758095145
4,cocentric_sine_waves,74.712,34.841,20.28933333333333,13.9775,10.574,0.2857358315959573,0.2819967046380043,0.35599561873823404,0.36108131241053343,0.30029814876616
5,inverse_sparkles,65.576,30.849,17.047333333333334,7.6675,5.8244,0.3547033295035362,0.25743567245081067,0.16672719083726406,0.2151677287183702,0.2931264159269631
6,perlin_noise,78.666,39.083,25.882,18.848,14.6304,0.2704193852841854,0.31821872759610415,0.26530886557884514,0.3109039538539946,0.2886603279039264
7,plasma_noise,74.928,34.759,21.735333333333333,15.4525,11.6876,0.2306389263831079,0.16790158138610423,0.152496877592057,0.1536626424640417,0.20999965956434608
8,single_frequency_greyscale,75.344,36.372,23.272666666666666,12.44,9.4352,0.2878257855772972,0.34588527400046587,0.17309497017413378,0.23777924478054047,0.25431939866393805
9,sparkles,79.986,39.588,25.862666666666666,18.4755,14.3156,0.21369238942861557,0.26023239456117153,0.3025873675942421,0.2646017842926085,0.22146448912099004
