,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,61.374,29.065,18.288,11.2545,6.5028,0.3985116733238101,0.299475169274956,0.3741605458781123,0.38797221053391695,0.4174203369766474
1,brownish_noise,68.374,31.905,19.548666666666666,13.3475,9.5356,0.3875273996964097,0.3359034850727767,0.32924195332452655,0.4592363047413528,0.23893720051273704
2,caustic_refraction,63.268,29.915,17.668666666666667,11.522,7.566,0.341900366358459,0.4110096166841686,0.4048370714299381,0.43224121863022447,0.3235150305554271
3,checkerboard_cutout,60.828,27.875,16.3,10.468,6.7708,0.24960286542773247,0.3444866486825049,0.16702969372272491,0.2714847084134817,0.34617520263418555
4,cocentric_sine_waves,48.102,13.56,4.414666666666666,2.3115,1.7052,0.3500223830342293,0.5345249148085713,0.6276609394699335,0.608795901760459,0.6299260845407844
5,inverse_sparkles,45.36,18.978,8.516,3.12,2.3348,0.38000593008473516,0.2505072853527963,0.2012045867741108,0.3806487428955734,0.4630433116108179
6,perlin_noise,65.638,32.13,20.918666666666667,14.0725,10.0064,0.45164544857107103,0.2778469091281295,0.3102043177932501,0.2813355098478496,0.28549581253901124
7,plasma_noise,54.098,19.872,10.234666666666667,6.321,4.2288,0.26881282264366746,0.3440800220705569,0.34007428027689457,0.2163101085461676,0.27839485881850123
8,single_frequency_greyscale,60.136,27.06,16.439333333333334,7.761,6.124,0.4632831262424588,0.3570987517014146,0.3412716696038842,0.47545773442834616,0.4251946760341525
9,sparkles,69.42,33.536,21.35,14.209,10.444,0.3298365790396929,0.3578390786424279,0.3390729296952486,0.44270663522183895,0.32713470607995987
