,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,79.472,38.899,25.232,17.3645,12.0796,0.612248882651329,0.6186174526810646,0.6315790712833405,0.5140371322631836,0.6019983738660812
1,brownish_noise,81.478,39.818,25.824,18.7795,14.4756,0.3995444104075432,0.4962254986166954,0.30764553137123585,0.6168580278754234,0.657452616840601
2,caustic_refraction,78.354,38.163,23.991333333333333,16.8675,12.2384,0.576481468975544,0.4533788375556469,0.6312958560883999,0.5921725854277611,0.39354875870049
3,checkerboard_cutout,80.336,39.709,25.89,19.0185,14.6864,0.5305294543504715,0.5270508751273155,0.351482380181551,0.5385915748775005,0.5736057348549366
4,cocentric_sine_waves,66.35,23.039,7.279333333333334,3.961,2.4856,0.7079074345529079,0.730170238763094,0.6811763159930706,0.7699222825467587,0.7710832767188549
5,inverse_sparkles,57.976,26.8,15.151333333333334,8.438,6.6576,0.4388767369091511,0.4489443898200989,0.3232792438939214,0.38495487719774246,0.6053880620747805
6,perlin_noise,79.814,39.526,26.139333333333333,18.6165,14.1252,0.5414652489125729,0.4557739086449146,0.5148546807467937,0.4096500016748905,0.37027447298169136
7,plasma_noise,71.94,29.111,15.933333333333334,10.1915,6.8804,0.3899960480630398,0.46412442438304424,0.4892583917826414,0.4818648174405098,0.4823798444122076
8,single_frequency_greyscale,74.116,34.411,21.317333333333334,9.004,6.5732,0.612454678863287,0.7379276566207409,0.4295142740011215,0.5140631590038538,0.6434588767588139
9,sparkles,81.868,40.525,26.573333333333334,19.016,14.7312,0.5209458284080029,0.5243622921407223,0.3984227105975151,0.36180529743433,0.358922366052866
