,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,56.526,25.914,16.286666666666665,9.996,5.226,0.466880957596004,0.44936966709792614,0.4013459337875247,0.36058710468932986,0.4676013649441302
1,brownish_noise,71.544,32.754,19.075333333333333,12.1745,8.1624,0.44269286282360554,0.3204203264322132,0.44193856697529554,0.3931429600343108,0.5950631736777723
2,caustic_refraction,67.396,32.001,18.903333333333332,12.5395,8.304,0.3491235123947263,0.3308964651077986,0.36691761249676347,0.29652158240787685,0.3130125456955284
3,checkerboard_cutout,67.318,31.246,18.612666666666666,12.0775,7.8332,0.36515088472515345,0.44292005989700556,0.4368442064151168,0.37014173809438944,0.29138615261763334
4,cocentric_sine_waves,46.9,11.505,3.444,1.7545,1.2932,0.541974303778261,0.5766522735357285,0.6143416338600218,0.7178133619017899,0.6654347749426961
5,inverse_sparkles,41.858,17.283,7.704666666666666,3.011,2.3096,0.5420861607417464,0.3852202841080725,0.5734158693812788,0.32489866530522704,0.3602572842501104
6,perlin_noise,68.192,33.384,21.652666666666665,14.415,10.2448,0.33273678133264184,0.31874309899285436,0.3640561206266284,0.3913222383707762,0.4272405137307942
7,plasma_noise,48.668,13.916,5.974666666666667,3.266,1.9684,0.5100180180743337,0.6542358854785562,0.44301488157361746,0.672346512787044,0.6943447012454271
8,single_frequency_greyscale,53.24,21.751,12.122666666666667,3.3115,2.456,0.4586139749735594,0.4987416551448405,0.45699348766356707,0.5551607552915812,0.5547713171690702
9,sparkles,73.616,35.624,22.159333333333333,13.845,9.7464,0.29279025457799435,0.3878230429254472,0.46743046399205923,0.3229157943278551,0.3706610994413495
