,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,83.448,41.41,27.313333333333333,20.126,15.7172,0.4157285075634718,0.26338304160162807,0.24348197598010302,0.27440242748707533,0.25430910661816597
1,contrast,82.06,40.674,26.564666666666668,18.6755,12.3256,0.40014271903783083,0.2517555495724082,0.22162737417966127,0.1926151909865439,0.2902784766629338
2,defocus_blur,77.588,36.809,21.248666666666665,12.9875,8.0696,0.3711956487968564,0.3102716999128461,0.23170991614460945,0.16234293533489108,0.20445402909535915
3,elastic_transform,79.174,29.718,25.35,16.95,8.5236,0.21522141713649035,0.26818143064156175,0.27963956352323294,0.3143634982407093,0.36778395459987223
4,fog,79.6,39.144,25.308666666666667,18.4465,13.1864,0.2212594235315919,0.3037089223507792,0.23712333454750478,0.24610163760371506,0.17698581889271736
5,frost,79.802,37.402,23.22533333333333,17.3205,12.9968,0.23257371969521046,0.3053655093535781,0.35027751815505326,0.28603888815268874,0.29671283438801765
6,gaussian_noise,80.224,40.435,26.200666666666667,18.029,11.6688,0.4004084374755621,0.3189193634316325,0.24693484045565128,0.26538648270070553,0.2644624854438007
7,glass_blur,77.398,35.891,17.599333333333334,11.637,6.9728,0.3035480519756675,0.29383236449211836,0.35284458426758647,0.21369187906384468,0.35127531783655286
8,impulse_noise,80.768,40.216,26.105333333333334,17.945,12.07,0.32007250376045704,0.26949178241193295,0.2084766272455454,0.27002656226977706,0.22056841850280762
9,jpeg_compression,80.164,39.367,25.852666666666668,18.3395,13.2324,0.30763166584074497,0.26659383065998554,0.2904939604923129,0.44403242506086826,0.3500585430301726
10,motion_blur,81.398,39.296,24.195333333333334,15.552,10.6624,0.3207028666511178,0.3251581285148859,0.32111168606206775,0.22742917574942112,0.3173793307505548
11,pixelate,81.38,40.006,25.826666666666668,17.9725,11.5084,0.3351206835359335,0.3077513938769698,0.36269366182386875,0.39796079602092505,0.24164348747581244
12,shot_noise,80.294,39.944,25.912666666666667,17.2475,11.7492,0.2471608933992684,0.28256614645943046,0.24954238894861192,0.22489031730219722,0.2270148703828454
13,snow,80.002,36.923,24.99,17.5715,13.3844,0.31390082463622093,0.17785029439255595,0.3356110816821456,0.163141252938658,0.3143359918612987
14,zoom_blur,74.622,34.105,20.653333333333332,13.7895,9.2592,0.3641137797385454,0.37275343760848045,0.34849263448268175,0.30682387854903936,0.18789067305624485
