,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,73.122,36.097,23.463333333333335,16.956,12.7732,0.24076784774661064,0.2858936511911452,0.3270729698706418,0.30348215298727155,0.24989167880266905
1,contrast,68.662,33.427,21.176666666666666,13.348,6.9996,0.2362743087578565,0.193822666304186,0.14785307052079588,0.10819284926401451,0.06769371498376131
2,defocus_blur,58.974,25.855,12.484,6.2525,3.1544,0.26568288495764136,0.26114407321438193,0.2111027647042647,0.1349061345681548,0.12197459558956325
3,elastic_transform,67.684,23.008,16.902666666666665,8.6715,2.368,0.22424743720330298,0.21119496342726052,0.338450760114938,0.2738372797612101,0.2755296726245433
4,fog,64.262,29.859,17.024,10.6405,6.2812,0.17243844631593674,0.14252399548422545,0.0754304596921429,0.09205265378113836,0.10800534300506115
5,frost,66.734,28.695,16.472666666666665,12.105,8.5988,0.15667109144851565,0.09554562566336244,0.07973780226893723,0.1358243958093226,0.11193987855222076
6,gaussian_noise,67.326,30.705,16.742,8.4975,2.5668,0.35790384467691183,0.2013086094520986,0.23350458277855068,0.13941964355763048,0.06460696150315925
7,glass_blur,56.368,21.452,5.203333333333333,2.9645,1.8304,0.31907627871260047,0.3292275983840227,0.27530627558007836,0.26762469322420657,0.2737738350406289
8,impulse_noise,63.13,27.361,15.836,7.614,2.4604,0.2072209536563605,0.22984861209988594,0.1651929917279631,0.15606786240823567,0.08972020319197327
9,jpeg_compression,65.244,30.952,19.788666666666668,12.8105,8.118,0.3046076884493232,0.2992661122698337,0.3338484491687268,0.24063222901895642,0.15688267210498452
10,motion_blur,66.64,29.231,14.718,6.8565,3.7356,0.2610205819364637,0.2491919114254415,0.16473451838828623,0.16066951700486243,0.14756266307085752
11,pixelate,60.304,25.56,13.004666666666667,5.3795,1.3864,0.2699778056703508,0.24449947522953153,0.22096871840767562,0.15944306878373027,0.12082967208698392
12,shot_noise,66.224,29.632,16.06,6.7465,2.6924,0.3673553508706391,0.08841620897874236,0.23826727631967515,0.12423674191813916,0.07335624488769099
13,snow,62.532,24.189,16.763333333333332,10.5315,7.0816,0.14045724528841674,0.12461828324012458,0.07321335189044476,0.14187652547843754,0.18994996848050505
14,zoom_blur,51.816,20.733,11.374,6.9075,4.3808,0.23655793373472989,0.2550510037690401,0.2518768380396068,0.2862735486123711,0.27392684295773506
