,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,75.84,37.614,24.541333333333334,17.6345,13.2008,0.33613601326942444,0.4063367545604706,0.8524056673049927,0.8802891373634338,0.7518271207809448
1,contrast,75.134,36.852,23.421333333333333,15.179,7.78,0.5710750222206116,0.3735770583152771,0.6360512375831604,0.10842551290988922,0.1215866431593895
2,defocus_blur,60.608,27.14,13.608,7.0755,3.8168,0.18069696426391602,0.49182870984077454,0.2535632848739624,0.040004927664995193,0.06371315568685532
3,elastic_transform,69.222,23.027,19.724,11.4465,3.7028,0.346314013004303,0.26997238397598267,0.3073855936527252,0.26524731516838074,0.17079991102218628
4,fog,71.55,34.26,21.096666666666668,14.765,9.3796,0.347175657749176,0.29624849557876587,0.2547813057899475,0.11356767266988754,0.06682993471622467
5,frost,69.748,29.352,16.144,11.801,8.0256,0.7123006582260132,0.7216673493385315,0.5769724249839783,0.302219957113266,0.36709728837013245
6,gaussian_noise,68.732,32.006,18.784,11.494,6.44,0.32257312536239624,0.777992770075798,0.28336119651794434,0.1915879249572754,0.03996986895799637
7,glass_blur,61.72,25.731,8.528,4.5705,2.4232,0.10005015134811401,0.06541146337985992,0.15240752696990967,0.3062455654144287,0.4791354835033417
8,impulse_noise,68.306,30.918,18.602,10.5215,5.9356,0.7084918022155762,0.12336902320384979,0.2157217562198639,0.14188043773174286,0.0534658245742321
9,jpeg_compression,66.554,31.977,20.696666666666665,14.218,10.0052,0.2044329196214676,0.23364664614200592,0.15410198271274567,0.12904128432273865,0.13101962208747864
10,motion_blur,67.254,30.514,16.412666666666667,8.5755,5.1064,0.15808674693107605,0.9290051609277725,0.07641880959272385,0.10982698202133179,0.0709962397813797
11,pixelate,69.516,33.697,20.645333333333333,13.2685,9.3332,0.6520885229110718,0.5136728882789612,0.30474236607551575,0.14126358926296234,0.18138475716114044
12,shot_noise,68.042,30.972,17.948,9.6455,5.4652,0.39424625039100647,0.8100628405809402,0.42436882853507996,0.045514777302742004,0.02447393350303173
13,snow,66.72,25.037,17.196666666666665,9.56,6.6448,0.38232120871543884,0.2731601297855377,0.3908483386039734,0.8015345931053162,0.5983290672302246
14,zoom_blur,54.668,23.107,12.821333333333333,7.972,4.9144,0.5523086786270142,0.5211909413337708,0.2146500200033188,0.2246997356414795,0.2992175817489624
