,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,77.602,38.44,25.069333333333333,18.062,13.5748,0.5037092436105013,0.5026764292269945,0.3992287963628769,0.44264281168580055,0.3944241087883711
1,contrast,77.464,38.13,24.625333333333334,16.68,9.694,0.4237816035747528,0.4354548417031765,0.5030777100473642,0.30563220381736755,0.1371547314338386
2,defocus_blur,66.014,30.119,15.712666666666667,8.8065,5.0132,0.4852922819554806,0.4323860127478838,0.3582398500293493,0.32685379358008504,0.2522346335463226
3,elastic_transform,73.144,25.783,21.906666666666666,13.6685,5.474,0.34445764869451523,0.46601587533950806,0.43600809946656227,0.39761244133114815,0.46023054048419
4,fog,74.732,36.26,22.842666666666666,16.207,10.6756,0.4300323221832514,0.45548519492149353,0.29108091443777084,0.26331384340301156,0.20605687657371163
5,frost,70.458,29.236,15.924666666666667,11.763,7.9228,0.385912898927927,0.37878264859318733,0.2995474962517619,0.2676440728828311,0.2794366138987243
6,gaussian_noise,74.242,35.532,21.483333333333334,13.6015,7.6304,0.4561513662338257,0.35388696752488613,0.41936317924410105,0.2665148498490453,0.09257049101870507
7,glass_blur,67.046,29.119,11.536666666666667,6.5865,3.4992,0.2968095373362303,0.42476103361696005,0.37760591320693493,0.38046089746057987,0.42853492964059114
8,impulse_noise,73.276,34.624,21.782666666666668,13.524,7.9432,0.2687106113880873,0.37579622492194176,0.315650780685246,0.2504358384758234,0.07686821522656828
9,jpeg_compression,71.104,34.497,22.48,15.707,11.3096,0.4573490861803293,0.4518658332526684,0.3534085340797901,0.2987852869555354,0.29417086858302355
10,motion_blur,72.024,33.302,18.776666666666667,10.492,6.4664,0.3741466999053955,0.44462625682353973,0.35121561493724585,0.573542483150959,0.4395335651934147
11,pixelate,73.506,35.881,22.656,15.1725,10.8792,0.5585124641656876,0.4221109002828598,0.46825939416885376,0.3435490531846881,0.3972624596208334
12,shot_noise,73.68,34.662,21.018,12.557,7.7652,0.4470953084528446,0.37174176052212715,0.40099372155964375,0.23353988816961646,0.0658295982866548
13,snow,69.056,25.945,17.702666666666666,9.6695,6.7872,0.470750343054533,0.4184291996061802,0.40598407853394747,0.37191977351903915,0.5657676886767149
14,zoom_blur,61.286,26.723,15.321333333333333,9.77,6.2492,0.37194306030869484,0.37759882025420666,0.44058753550052643,0.44413148518651724,0.3625720674172044
