,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,0.088,0.047,0.028,0.0215,0.0196,0.004840239809709601,0.004944274958688766,0.005303839658154175,0.00558400372392498,0.005724192247726023
1,contrast,0.106,0.057,0.038,0.026,0.0196,0.005082871677586809,0.005236814729869366,0.005205900844885036,0.005085151264211163,0.005057454050984234
2,defocus_blur,0.098,0.049,0.03266666666666666,0.0255,0.0192,0.0050511255976744,0.00505241661448963,0.005052451087976806,0.0050178326782770455,0.005017429008148611
3,elastic_transform,0.108,0.04,0.036,0.027,0.0216,0.0050602727715158835,0.005111129052238539,0.005024950180086307,0.005060934767243452,0.005057793838204816
4,fog,0.08,0.042,0.02666666666666667,0.019,0.0156,0.00525796358124353,0.005429759388789535,0.005105790129164234,0.005074053886346519,0.005028988147387281
5,frost,0.09,0.048,0.032,0.0255,0.0184,0.005127853684825823,0.00533538093441166,0.005410273253801279,0.005407691409345716,0.005449497461086139
6,gaussian_noise,0.09,0.047,0.028,0.02,0.0164,0.004991025154595263,0.004954310905304737,0.004896287544397637,0.004899272928014398,0.004933953779982403
7,glass_blur,0.108,0.054,0.034666666666666665,0.026,0.0204,0.005045659898314625,0.005061100557213649,0.005057284433860332,0.005071191568276845,0.0050670838536461815
8,impulse_noise,0.098,0.048,0.030666666666666665,0.0225,0.0156,0.004984905433957465,0.004952819144818932,0.0048947348550427705,0.0048445217398693785,0.004865149443503469
9,jpeg_compression,0.1,0.048,0.034,0.0245,0.0216,0.005005788116250187,0.005025118196499534,0.00503073341678828,0.005058185721281916,0.004955422060447745
10,motion_blur,0.1,0.051,0.03333333333333333,0.0265,0.0192,0.005025276594096795,0.005031857363064773,0.005043587807449512,0.005050599153037183,0.005057197296991944
11,pixelate,0.102,0.052,0.03333333333333333,0.025,0.0196,0.00501750479452312,0.004994849659851752,0.005023853431339376,0.005029077015933581,0.0050295211403863505
12,shot_noise,0.098,0.049,0.03133333333333333,0.021,0.0168,0.004999077558750287,0.004986685016774572,0.00497879006434232,0.004971083224518225,0.005067453166702762
13,snow,0.102,0.047,0.030666666666666665,0.0235,0.0192,0.004943908948916942,0.0053394829301396385,0.0053408326202770695,0.005596744565991685,0.00583038225886412
14,zoom_blur,0.096,0.047,0.03266666666666666,0.0245,0.0188,0.005024359721574001,0.005016488357796334,0.004993384223780595,0.004957256984198466,0.004910547868348658
