,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,0.11,0.059,0.034666666666666665,0.02,0.0156,0.005062081414507702,0.004951453040121123,0.005099090747535229,0.005300564429489896,0.005213940283283591
1,contrast,0.098,0.049,0.03266666666666666,0.023,0.0188,0.005767846014350653,0.006040002539521083,0.006044719892088324,0.006019777356414124,0.005983784765703604
2,defocus_blur,0.108,0.055,0.036,0.0275,0.0208,0.005129381694132462,0.005136204679729417,0.005147287418367341,0.005181375046959147,0.0051964787126053125
3,elastic_transform,0.102,0.04,0.03933333333333333,0.0285,0.0232,0.0052097595180384815,0.005246165645075962,0.005143697664607316,0.005125983385369182,0.005129604862304404
4,fog,0.112,0.048,0.03266666666666666,0.0225,0.0156,0.005504507862497121,0.005430902179796249,0.00499218437471427,0.004961827246006578,0.004894435885944404
5,frost,0.092,0.039,0.025333333333333333,0.0205,0.0176,0.004873792437138036,0.004993342474335805,0.004981699225027114,0.005124625138705596,0.005172946897801012
6,gaussian_noise,0.104,0.054,0.034666666666666665,0.026,0.0236,0.005100760929053649,0.005078876769402996,0.0050543830438982695,0.005049134866567329,0.005187782517168671
7,glass_blur,0.114,0.054,0.034666666666666665,0.0265,0.0208,0.005120389920193702,0.005123102338984609,0.005138726439327002,0.005133850907441229,0.005140140390722081
8,impulse_noise,0.108,0.057,0.03666666666666667,0.0255,0.0228,0.005120465386426076,0.005097871151519939,0.005099819041788578,0.005064917611889541,0.005120060464832932
9,jpeg_compression,0.116,0.055,0.03866666666666667,0.0275,0.024,0.005141992383869365,0.005142015230376273,0.005146322917426005,0.00514277518959716,0.005119240522617474
10,motion_blur,0.11,0.055,0.03666666666666667,0.0265,0.0212,0.005112604354508221,0.005116542131872848,0.00511086787446402,0.005093613464850932,0.005072748055681586
11,pixelate,0.118,0.057,0.03933333333333333,0.0295,0.0228,0.005122121685417369,0.005116182786878198,0.005114524508826435,0.005120467161759734,0.005141496832948178
12,shot_noise,0.106,0.056,0.03266666666666666,0.0235,0.0216,0.005068432918051258,0.005047671467764303,0.00499822644633241,0.005031709850300103,0.005160245957085863
13,snow,0.116,0.052,0.03266666666666666,0.026,0.0172,0.004733873385703191,0.004818054207134992,0.004817466193344444,0.004944633546983823,0.0050215777300763875
14,zoom_blur,0.108,0.053,0.035333333333333335,0.026,0.0216,0.0052140823972877115,0.005245769367320463,0.005272013804642484,0.0052905415068380535,0.005316483497153968
