,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,80.262,39.871,26.199333333333332,19.2095,14.8768,0.7845888733863831,0.10324912518262863,0.6982883810997009,0.10406818985939026,0.0789949893951416
1,contrast,78.314,38.751,25.190666666666665,17.3155,10.2364,0.23786664009094238,0.059347137808799744,0.036528363823890686,0.9375501535832882,0.06729161739349365
2,defocus_blur,71.538,33.115,18.151333333333334,10.743,6.4992,0.32041141390800476,0.41604289412498474,0.30528077483177185,0.09717907011508942,0.036510612815618515
3,elastic_transform,77.388,30.892,23.232,14.671,5.962,0.6070306897163391,0.5051613450050354,0.44428128004074097,0.3759755790233612,0.5043334364891052
4,fog,76.39,37.182,23.052,15.393,9.5024,0.3072790205478668,0.3050176501274109,0.13928768038749695,0.07809989154338837,0.10957445204257965
5,frost,75.614,34.554,21.158,15.709,11.7032,0.12658226490020752,0.29354533553123474,0.19895219802856445,0.2903408408164978,0.1905844658613205
6,gaussian_noise,77.21,37.418,23.334,15.5895,10.1296,0.3665471076965332,0.29308533668518066,0.393626868724823,0.11810392141342163,0.07454684376716614
7,glass_blur,70.874,30.374,10.841333333333333,5.801,2.912,0.1650303155183792,0.5780832767486572,0.36136239767074585,0.16551245748996735,0.14670594036579132
8,impulse_noise,75.822,36.498,23.412,15.6765,10.4152,0.3867034316062927,0.2947466969490051,0.2308172732591629,0.04274127632379532,0.10592783242464066
9,jpeg_compression,75.358,36.797,24.078,16.9885,12.4172,0.36070117354393005,0.6291416883468628,0.7307483553886414,0.2507627308368683,0.3681221604347229
10,motion_blur,76.37,36.23,21.422666666666668,13.082,8.732,0.34730765223503113,0.646151065826416,0.687671422958374,0.5535529851913452,0.4805179834365845
11,pixelate,76.348,37.136,22.915333333333333,14.4825,9.7404,0.6953823268413544,0.23773790895938873,0.35116803646087646,0.30948662757873535,0.2858254909515381
12,shot_noise,76.572,36.762,22.828,14.5705,9.8404,0.5699636340141296,0.3329756259918213,0.15276198089122772,0.055959850549697876,0.09492611140012741
13,snow,72.978,31.867,21.51,14.427,10.9692,0.18441741168498993,0.42004361748695374,0.09549444913864136,0.08585363626480103,0.07995820045471191
14,zoom_blur,68.31,30.722,18.295333333333332,12.1425,8.45,0.2754151225090027,0.7149122953414917,0.8317172527313232,0.74626225233078,0.3842279314994812
