,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,72.79,35.961,23.372666666666667,16.7445,12.406,0.3336009602062404,0.2731240736320615,0.26967297960072756,0.2549655707553029,0.23160306876525283
1,contrast,68.28,32.456,18.805333333333333,7.7865,1.832,0.33513291785493493,0.3004444660618901,0.33429559087380767,0.18575920909643173,0.11351954471319914
2,defocus_blur,59.046,26.006,12.519333333333334,6.338,3.2796,0.3212563954293728,0.2595547395758331,0.23498837905935943,0.18018062529154122,0.23118109349161386
3,elastic_transform,67.246,23.041,18.828,11.041,3.8032,0.25757901184260845,0.3499097703024745,0.3056619390845299,0.5272921705618501,0.43926326278597116
4,fog,64.774,30.047,17.207333333333334,10.914,5.3748,0.3401140933856368,0.40660289535298944,0.28620909340679646,0.28372760000638664,0.302450641291216
5,frost,61.91,23.578,12.218666666666667,8.6985,5.71,0.30547346640378237,0.3576100319623947,0.27332513127475977,0.3076666947454214,0.2398487450554967
6,gaussian_noise,63.86,27.534,13.698,6.141,1.8868,0.3190282844007015,0.27742557413876057,0.2975995745509863,0.3977171219885349,0.2647117655724287
7,glass_blur,57.424,22.27,6.724,3.6155,1.9508,0.32196745555847883,0.27203663857653737,0.19654905889183283,0.20758501859381795,0.159313298529014
8,impulse_noise,53.098,22.766,12.961333333333334,5.811,2.0088,0.30247160932049155,0.31283184606581926,0.37230800883844495,0.3134028655476868,0.2638346515595913
9,jpeg_compression,66.172,31.504,20.220666666666666,13.146,8.2076,0.4525397755205631,0.29965829802677035,0.29926671646535397,0.2964880815707147,0.1697417653631419
10,motion_blur,64.882,27.198,12.696,5.51,2.8436,0.3059487557038665,0.31210379023104906,0.26745383767411113,0.2228134369943291,0.24708445137366652
11,pixelate,67.266,32.61,18.823333333333334,10.963,7.054,0.4742581583559513,0.4541294053196907,0.42632504645735025,0.4719341229647398,0.5099678095430136
12,shot_noise,62.316,25.86,12.698666666666666,4.7415,2.0104,0.23274805257096887,0.18078134628012776,0.3155674277804792,0.33703674329444766,0.3018680845852941
13,snow,56.766,18.603,13.434,7.2685,4.606,0.3234041640534997,0.3571085729636252,0.3725943211466074,0.29951120680198073,0.344220781698823
14,zoom_blur,53.354,21.828,12.124666666666666,7.433,4.7464,0.343250032979995,0.3102153460495174,0.2749188574962318,0.2870064093731344,0.2923573269508779
