,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,77.94,38.606,25.284666666666666,18.376,14.0604,0.34395936131477356,0.21876609325408936,0.22016218304634094,0.23214063048362732,0.07781245559453964
1,contrast,75.012,36.679,23.219333333333335,14.0395,5.5144,0.3149329423904419,0.3002954125404358,0.2994743883609772,0.07577543705701828,0.12421559542417526
2,defocus_blur,65.726,29.391,14.616666666666667,7.589,3.8308,0.20102092623710632,0.21224021911621094,0.09259989112615585,0.05954959616065025,0.025581173598766327
3,elastic_transform,72.098,24.58,20.390666666666668,11.5225,3.5012,0.4423424005508423,0.18980950117111206,0.10457809269428253,0.06378158926963806,0.31367143988609314
4,fog,71.996,34.57,21.311333333333334,14.653,8.8156,0.29900017380714417,0.17274077236652374,0.16256508231163025,0.08623092621564865,0.03537827357649803
5,frost,70.436,29.325,16.288666666666668,11.718,8.0884,0.16706325113773346,0.15655992925167084,0.12170131504535675,0.05603134632110596,0.03802655264735222
6,gaussian_noise,71.988,33.043,18.150666666666666,9.41,3.3968,0.15445902943611145,0.1630585789680481,0.07841678708791733,0.029086576774716377,0.021650904789566994
7,glass_blur,64.724,26.22,7.514,3.972,2.0552,0.11003504693508148,0.06836336106061935,0.11489414423704147,0.13286177814006805,0.08437177538871765
8,impulse_noise,69.016,30.269,17.642,8.631,3.396,0.42777591943740845,0.08676106482744217,0.08212222903966904,0.04775235429406166,0.025600353255867958
9,jpeg_compression,71.182,34.192,22.016,14.649,9.73,0.2072521299123764,0.14313611388206482,0.11345965415239334,0.08479469269514084,0.07477056980133057
10,motion_blur,72.488,32.828,17.244666666666667,8.822,5.1168,0.10663065314292908,0.06876327842473984,0.07506377249956131,0.03207898885011673,0.03389207646250725
11,pixelate,70.326,31.359,18.99,10.7095,4.5308,0.31222429871559143,0.17576134204864502,0.12270659953355789,0.09052771329879761,0.08672376722097397
12,shot_noise,71.658,32.426,18.094666666666665,8.567,4.13,0.06904446333646774,0.0817602202296257,0.15148413181304932,0.026157952845096588,0.02883005514740944
13,snow,67.472,25.068,17.906666666666666,10.985,6.8604,0.06067882850766182,0.09536150842905045,0.10739283263683319,0.07649101316928864,0.051762256771326065
14,zoom_blur,59.192,24.667,13.908,8.552,5.3616,0.7820807099342346,0.8893109560012817,0.6315659284591675,0.6902693510055542,0.1706112027168274
