,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,77.764,38.44,25.085333333333335,18.218,13.7928,0.3088499251753092,0.44641859689727426,0.4407553384080529,0.2905597435310483,0.2900002831593156
1,contrast,75.396,36.804,23.214,14.023,5.754,0.32897053100168705,0.2609790079295635,0.25413074996322393,0.33846394158899784,0.2402567968238145
2,defocus_blur,68.682,31.616,17.334666666666667,10.2545,6.178,0.2320963740348816,0.42856875620782375,0.49187974259257317,0.42452950309962034,0.30824603606015444
3,elastic_transform,73.822,25.657,21.44333333333333,13.011,5.1432,0.4390336722135544,0.36387708224356174,0.3796890629455447,0.3227389743551612,0.4370487695559859
4,fog,70.006,33.064,19.982,13.4675,7.8456,0.3719160947948694,0.29113051295280457,0.38924749940633774,0.3396135503426194,0.236994958948344
5,frost,69.2,28.366,15.703333333333333,11.29,7.7564,0.3025622833520174,0.2984365331940353,0.45183198899030685,0.4667491093277931,0.37858893163502216
6,gaussian_noise,72.772,34.352,19.994,11.7955,5.7528,0.35202973056584597,0.27425266010686755,0.2535334858112037,0.3177795000374317,0.18555746786296368
7,glass_blur,66.242,27.792,9.948666666666666,5.715,3.1416,0.3278619749471545,0.378604456782341,0.314417639747262,0.3656520573422313,0.34491587802767754
8,impulse_noise,69.814,32.908,20.487333333333332,12.1465,6.3232,0.4840474221855402,0.3521740771830082,0.27383179869502783,0.32130189053714275,0.32521584164351225
9,jpeg_compression,73.168,35.677,23.354,16.3195,11.7732,0.38319718837738037,0.4261216688901186,0.3001193255186081,0.4000972555950284,0.28275282215327024
10,motion_blur,72.94,34.06,19.718,11.6065,7.6076,0.3913716934621334,0.2850404754281044,0.33488463005051017,0.2511671963147819,0.42723045963793993
11,pixelate,74.52,36.581,22.956666666666667,15.6,11.4236,0.3312090337276459,0.4024918684735894,0.47011159732937813,0.45472344011068344,0.4410810098052025
12,shot_noise,71.556,33.299,19.608,10.873,6.2584,0.3573491368442774,0.3324429262429476,0.28894370375201106,0.2443920113146305,0.20543564530089498
13,snow,67.04,26.339,17.826666666666668,10.745,7.3852,0.3763098679482937,0.36720217764377594,0.3903760970570147,0.3023582948371768,0.23185817385092378
14,zoom_blur,64.492,28.336,16.476666666666667,10.6755,6.9916,0.4100121259689331,0.3958700727671385,0.36952540650963783,0.3251820155419409,0.3925775056704879
