,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,71.114,34.914,22.53,15.923,11.5656,0.2919046967290342,0.18385022995062172,0.24735444970428944,0.2900416620541364,0.2740254015661776
1,contrast,65.592,30.014,15.604666666666667,4.042,0.5704,0.4113614112138748,0.2739831362850964,0.2221405515447259,0.13491093856282532,0.12156673450954258
2,defocus_blur,53.33,22.443,10.478,5.222,2.7712,0.1987839366775006,0.24476672895252705,0.274155430495739,0.20381702203303576,0.1596604874357581
3,elastic_transform,63.702,21.022,18.36466666666667,10.329,3.3656,0.18044361053034663,0.2048428726848215,0.20868390705436468,0.23328920686617494,0.3218663646839559
4,fog,60.174,26.965,14.72,9.152,4.0,0.2380259307101369,0.208535396726802,0.24408688605763018,0.22186846332624555,0.2359993348363787
5,frost,57.016,19.501,9.136,6.3465,3.8232,0.22565463441424072,0.18718203552998602,0.22333358996547759,0.23454889608547091,0.2441230546683073
6,gaussian_noise,57.986,23.819,10.175333333333333,3.25,0.4964,0.33675621170550585,0.24728244333527982,0.19932586536742747,0.16124621243216097,0.10961352137383074
7,glass_blur,53.168,20.388,5.318,2.8475,1.4924,0.29827887704595923,0.24642350431531668,0.18474362220149487,0.16184162138961256,0.15753405983559787
8,impulse_noise,53.542,20.651,10.146666666666667,2.9385,0.4692,0.21622791979461908,0.27729581808671355,0.21872396231628954,0.11154457728844136,0.09768227441236377
9,jpeg_compression,63.274,30.088,19.336666666666666,12.616,8.1972,0.28353478922508657,0.262938791885972,0.2881613662466407,0.2289540006313473,0.2194757596589625
10,motion_blur,62.628,26.653,12.503333333333334,5.219,2.6152,0.24292642646469176,0.2247543572448194,0.24095508782193065,0.19513577851466835,0.17943490634206682
11,pixelate,63.372,31.028,17.284666666666666,9.845,6.6932,0.3196564265526831,0.30514235980808735,0.2856795694679022,0.28870665188878775,0.20671841455623507
12,shot_noise,56.068,21.833,9.308666666666667,2.328,0.6492,0.27818760788068175,0.2923292797058821,0.1817594259046018,0.14066080120392144,0.11942294705659151
13,snow,53.264,15.923,12.261333333333333,6.7285,3.8736,0.24527610116638243,0.2257110036443919,0.20436649955809116,0.29927652422338724,0.28764237742871046
14,zoom_blur,47.448,18.758,10.433333333333334,6.277,3.9892,0.19143267441540956,0.20973826316185296,0.23006263840943575,0.29081595642492175,0.3337079337798059
