,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,79.102,38.878,25.125333333333334,17.908,13.284,0.2762200287543237,0.22648565797135234,0.27268401766195893,0.28276503714732826,0.2869439290370792
1,contrast,80.386,39.708,25.877333333333333,17.6095,10.1468,0.21770361997187138,0.23942145518958569,0.2987721082754433,0.24817903386428952,0.09863887290703133
2,defocus_blur,70.034,32.828,18.729333333333333,11.4795,7.2348,0.22776142973452806,0.17905365535989404,0.30779975303448737,0.18766355328261852,0.20345020038075745
3,elastic_transform,75.756,28.695,23.526666666666667,15.3765,6.9564,0.2947529531084001,0.2909455276094377,0.3195618623867631,0.23659746535122395,0.3771589519456029
4,fog,78.266,38.297,24.386666666666667,17.333,11.6688,0.27777346689254045,0.2630184239242226,0.27865109546110034,0.17793886712752283,0.1558055928326212
5,frost,68.82,27.602,14.516,10.768,7.1188,0.3007809519767761,0.37061222246848047,0.2967775911092758,0.27193446457386017,0.3355509117245674
6,gaussian_noise,74.388,35.571,21.808,14.147,8.1416,0.34980891831219196,0.39444034174084663,0.24868056504055858,0.2590076341293752,0.0978203114354983
7,glass_blur,69.848,31.016,13.756,8.3785,4.9772,0.27868953766301274,0.3098247838206589,0.3559489478357136,0.28304720018059015,0.30567910405807197
8,impulse_noise,73.16,34.162,21.322,13.2705,7.746,0.3528376007452607,0.24172310484573245,0.3388426834717393,0.2690636485349387,0.18520730710588396
9,jpeg_compression,74.246,36.205,23.658666666666665,16.6535,11.9872,0.21077181631699204,0.2887012707069516,0.32515747216530144,0.27576946653425694,0.3153806417249143
10,motion_blur,75.346,35.453,20.902666666666665,12.584,8.3184,0.31491738464683294,0.2745581567287445,0.22341708140447736,0.19875290105119348,0.2932816483080387
11,pixelate,76.082,37.519,24.002,16.229,11.7852,0.2997972806915641,0.24221430160105228,0.3231377308256924,0.2917370409704745,0.37092598620802164
12,shot_noise,73.444,34.627,21.144,12.574,7.5992,0.3567336779087782,0.26186373131349683,0.3131015917751938,0.28848475497215986,0.1452200411586091
13,snow,69.538,25.62,18.012,9.9235,6.298,0.28342211013659835,0.2215791589114815,0.32621017610654235,0.24407756514847279,0.2306954429950565
14,zoom_blur,63.656,27.817,16.386666666666667,10.582,6.9468,0.24605606589466333,0.2887076896149665,0.26280874758958817,0.20777062745764852,0.2568580540828407
