,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,82.616,41.054,27.068666666666665,19.9535,15.5168,0.21071217861026525,0.3671614369377494,0.34456421062350273,0.2166228862479329,0.2479256233200431
1,contrast,81.842,40.397,26.272,17.7695,10.4048,0.34357223100960255,0.3625986650586128,0.2717214897274971,0.19324528239667416,0.19294961297418922
2,defocus_blur,77.034,37.004,21.983333333333334,14.4,9.7564,0.2600894230417907,0.1801472045481205,0.15121467504650354,0.2031816984526813,0.16580330370925367
3,elastic_transform,79.984,31.114,25.69,17.779,9.7532,0.3862174856476486,0.35768201015889645,0.30572757963091135,0.3454738166183233,0.29075737996026874
4,fog,79.748,39.002,24.924666666666667,17.727,12.1208,0.2891122866421938,0.32608157489448786,0.4648941848427057,0.43277221359312534,0.33071655477397144
5,frost,77.728,34.783,20.831333333333333,15.2015,11.0712,0.2819657092913985,0.4356364458799362,0.45704509411007166,0.3584028845652938,0.3942274358123541
6,gaussian_noise,79.674,38.737,24.526,16.6695,10.5064,0.2999123064801097,0.2716217958368361,0.21381409280002117,0.24050294235348701,0.22521937708370388
7,glass_blur,77.028,35.857,18.67866666666667,12.201,7.4852,0.27472082804888487,0.2175912451930344,0.2896930661518127,0.22405371814966202,0.20491699082776904
8,impulse_noise,78.636,37.912,24.326,16.1,10.1752,0.26400588639080524,0.3379384893923998,0.3148470730520785,0.26303027430549264,0.1909789750352502
9,jpeg_compression,79.102,38.894,25.598,18.4225,13.856,0.34550592210143805,0.42161419428884983,0.2725128633901477,0.33443665178492665,0.29949540412053466
10,motion_blur,80.362,38.628,23.837333333333333,15.592,11.062,0.16338138468563554,0.1961057372391224,0.2323016761802137,0.27436537109315395,0.2871683407574892
11,pixelate,80.732,39.827,26.202666666666666,18.672,14.2608,0.34861765429377556,0.33222610130906105,0.38002632465213537,0.2120357034727931,0.25062278704717755
12,shot_noise,79.266,38.19,24.064,15.5215,10.388,0.3025642638094723,0.2408765833824873,0.23565833480097353,0.17919541988521814,0.3300927279051393
13,snow,77.296,34.236,23.432666666666666,15.779,12.0692,0.2698847046121955,0.28550702007487416,0.20449283136986196,0.29068122524768114,0.3733056029304862
14,zoom_blur,73.842,34.064,20.73,14.147,9.8616,0.16162262833677232,0.2277417432051152,0.2771790230181068,0.2645858791656792,0.22517275670543313
