,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,80.836,40.085,26.31,19.2505,14.868,0.3152929563075304,0.26513147726655006,0.16939346864819527,0.18073915177956223,0.25260939728468657
1,contrast,79.726,39.316,25.456,17.6105,11.4124,0.28410838451236486,0.22977881785482168,0.2621608478948474,0.2350547667592764,0.1826625457033515
2,defocus_blur,71.118,32.97,17.624666666666666,9.8285,5.5672,0.15356656024232507,0.22791117243468761,0.16082058707252145,0.2330404109088704,0.133715798612684
3,elastic_transform,75.742,27.742,23.060666666666666,14.43,5.8772,0.11364260595291853,0.3355050478130579,0.23781339824199677,0.3017983613535762,0.33290595561265945
4,fog,77.148,37.571,23.744666666666667,17.0535,11.58,0.3604807094670832,0.32146559469401836,0.25372338271699846,0.2859671404585242,0.18671049550175667
5,frost,75.69,33.96,20.093333333333334,14.7975,10.7364,0.26097317552194,0.2511408436112106,0.3093093051575124,0.2899002272170037,0.3244932806119323
6,gaussian_noise,76.99,37.371,22.912666666666667,14.2995,5.6796,0.2327043251134455,0.3934983047656715,0.2696389809716493,0.15389952948316932,0.1273087828885764
7,glass_blur,70.522,30.842,11.693333333333333,6.6645,3.2216,0.301824351772666,0.2754786484874785,0.2841433025896549,0.2876674700528383,0.37875639693811536
8,impulse_noise,76.598,36.954,23.494666666666667,14.736,7.2388,0.22630212176591158,0.270844304934144,0.2644364545121789,0.2590645947493613,0.17530972859822214
9,jpeg_compression,74.348,36.211,23.64,16.604,11.9436,0.26300228550098836,0.3539230921305716,0.26821792172268033,0.28207320580258965,0.271659720223397
10,motion_blur,76.23,35.91,21.048666666666666,12.5555,8.176,0.24380267783999443,0.2722371146082878,0.2506389864720404,0.2391835069283843,0.26969766337424517
11,pixelate,75.37,35.602,18.393333333333334,5.9495,4.4756,0.2958846935071051,0.2443051664158702,0.21786972973495722,0.2154393456876278,0.28656924050301313
12,shot_noise,76.508,36.654,22.431333333333335,12.804,6.3216,0.3208892308175564,0.3895680601708591,0.2699116258881986,0.18138125690165907,0.18262014770880342
13,snow,73.536,29.973,20.562,12.9425,8.9656,0.28337247390300035,0.24035799223929644,0.13268170016817749,0.3698490005917847,0.23293343489058316
14,zoom_blur,65.796,28.85,16.830666666666666,10.822,6.9904,0.24583203624933958,0.26850227010436356,0.14327313331887126,0.25526762986555696,0.2516339747235179
