,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,81.874,40.754,26.908666666666665,19.9045,15.5464,0.23434620164334774,0.20376789197325706,0.18697698507457972,0.2424857011064887,0.27574434224516153
1,contrast,79.53,39.267,25.532666666666668,17.065,10.7092,0.2750712875276804,0.11550750024616718,0.20699197973590341,0.22785040421877056,0.1285545173450373
2,defocus_blur,73.632,34.64,19.695333333333334,11.76,7.0864,0.29868242982774973,0.2394589874893427,0.2363704340532422,0.3127630853559822,0.29830864118412137
3,elastic_transform,77.352,28.602,23.780666666666665,15.1075,6.348,0.2564040217548609,0.2496925052255392,0.22590485587716103,0.2536372719332576,0.3751401477493346
4,fog,76.384,36.629,23.54,17.1365,11.7016,0.18218451528809965,0.20554845314472914,0.08752479404211044,0.11944083007983863,0.06115767848677933
5,frost,78.008,35.74,21.617333333333335,15.891,11.7836,0.15596943441778421,0.15639602579176426,0.19072587275877595,0.19506912142969668,0.23410433693788946
6,gaussian_noise,79.732,38.937,24.689333333333334,16.861,11.1276,0.17524513136595488,0.25044858176261187,0.3627714435569942,0.30675646010786295,0.1875608991831541
7,glass_blur,73.506,32.657,11.595333333333333,6.5455,3.596,0.2626020619645715,0.29348344961181283,0.4303923277184367,0.46063629910349846,0.47945215087383986
8,impulse_noise,79.202,38.121,24.524,16.44,10.7932,0.16241118870675564,0.30142417596653104,0.1741626551374793,0.1944830333814025,0.12758655077777803
9,jpeg_compression,76.456,37.367,24.441333333333333,17.2805,12.6076,0.28739613201469183,0.3835433479398489,0.3831057194620371,0.2789592929184437,0.21595421247184277
10,motion_blur,78.286,37.25,22.342,13.839,9.2584,0.2501609306782484,0.204570303671062,0.17781559936702251,0.20297747664153576,0.2923731920309365
11,pixelate,77.308,37.191,23.310666666666666,14.4965,8.2512,0.31540721468627453,0.3158048568293452,0.25716282706707716,0.2826361218467355,0.29607952712103724
12,shot_noise,79.26,38.449,24.425333333333334,15.945,10.9564,0.2937026135623455,0.16353198839351535,0.18548566568642855,0.1665643542073667,0.2206387580372393
13,snow,76.594,33.518,22.664666666666665,15.5795,11.5464,0.2245316607877612,0.2363527799025178,0.20196422445587814,0.18117434717714787,0.18778376374393702
14,zoom_blur,68.996,30.754,18.174666666666667,11.84,7.6792,0.3125859182327986,0.3348322678357363,0.32981299376115203,0.25873001059517264,0.3480034014210105
