,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,81.698,40.615,26.940666666666665,19.9415,15.622,0.34528530202805996,0.3543432950973511,0.45347392931580544,0.4122014492750168,0.36028710193932056
1,contrast,80.33,39.811,26.044666666666668,18.4565,12.626,0.3572482452727854,0.49234557803720236,0.3646415355615318,0.3132965210825205,0.154647302813828
2,defocus_blur,75.044,35.427,20.166666666666668,12.5525,8.0016,0.40922409668564796,0.35258408822119236,0.4922515554353595,0.3540497161448002,0.27738335356116295
3,elastic_transform,79.064,31.019,24.034,15.4345,6.4664,0.4127139188349247,0.538135040551424,0.4926072936505079,0.5139124542474747,0.4337599314749241
4,fog,78.448,38.379,24.785333333333334,18.1495,13.492,0.3048276277258992,0.2324491166509688,0.12677815975621343,0.1234190803952515,0.11506371712312102
5,frost,77.762,35.816,21.96066666666667,16.292,12.2444,0.2699779588729143,0.24984099622815847,0.3101075189188123,0.30151377990841866,0.14442687667906284
6,gaussian_noise,79.87,39.003,24.664666666666665,16.875,11.09,0.4691508077085018,0.40419510565698147,0.4252561591565609,0.39841903652995825,0.25233367271721363
7,glass_blur,74.902,33.37,12.553333333333333,6.922,3.3852,0.5464327912777662,0.36730835773050785,0.24734228430315852,0.29464653320610523,0.4264559634029865
8,impulse_noise,79.316,38.371,24.711333333333332,16.6045,11.0356,0.43248139694333076,0.3127522747963667,0.3741783695295453,0.3217358309775591,0.25080545246601105
9,jpeg_compression,76.98,37.706,24.746666666666666,17.6805,13.1156,0.48367423191666603,0.5207122601568699,0.33593782037496567,0.44124177657067776,0.3749510236084461
10,motion_blur,78.664,37.645,22.651333333333334,14.1,9.548,0.41585567593574524,0.31048245169222355,0.3144002854824066,0.37813012301921844,0.3755596000701189
11,pixelate,78.942,38.993,25.046666666666667,16.795,11.9552,0.4947411799803376,0.48416631016880274,0.28525138460099697,0.3371552973985672,0.3977310173213482
12,shot_noise,79.438,38.557,24.434666666666665,16.098,11.0308,0.4641553480178118,0.2527795173227787,0.3615097850561142,0.2293759323656559,0.256890413351357
13,snow,76.8,34.219,23.310666666666666,15.8235,11.708,0.3110274598002434,0.2794494600966573,0.3544492293149233,0.19690771121531725,0.35631206072866917
14,zoom_blur,70.992,32.134,18.976,12.533,8.2484,0.48734656162559986,0.4008835330605507,0.3297620341181755,0.38267047610133886,0.4204333033412695
