,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,65.414,31.595,19.950666666666667,13.658,9.4448,0.05645815655589104,0.43483003973960876,0.15713980793952942,0.057052649557590485,0.06243118643760681
1,contrast,53.894,22.881,10.422666666666666,2.4815,0.426,0.9140960797667503,0.08447732031345367,0.925446942448616,0.04892734810709953,0.053710587322711945
2,defocus_blur,48.098,19.912,8.326666666666666,3.637,1.7384,0.13609184324741364,0.13108466565608978,0.07663583010435104,0.06988919526338577,0.3172832727432251
3,elastic_transform,59.278,19.207,16.040666666666667,8.9455,2.8552,0.05115042254328728,0.09563356637954712,0.20042262971401215,0.17675842344760895,0.09413760155439377
4,fog,49.136,20.85,10.62,6.502,2.6184,0.047852978110313416,0.057393334805965424,0.14900121092796326,0.10426099598407745,0.12869565188884735
5,frost,49.472,15.835,6.991333333333333,4.8515,2.8424,0.10300575196743011,0.05983330309391022,0.09322482347488403,0.10264606773853302,0.13813258707523346
6,gaussian_noise,49.056,18.06,6.257333333333333,1.641,0.3048,0.30415308475494385,0.04735387861728668,0.2838262617588043,0.22782966494560242,0.3482521176338196
7,glass_blur,46.85,16.821,4.544666666666667,2.473,1.3764,0.24091355502605438,0.11056947708129883,0.10996321588754654,0.03802359104156494,0.10887617617845535
8,impulse_noise,37.838,12.653,5.713333333333333,1.433,0.3168,0.05702170357108116,0.055481575429439545,0.3133275508880615,0.35493987798690796,0.44025832414627075
9,jpeg_compression,57.08,26.674,16.80666666666667,10.3215,5.76,0.23240751028060913,0.36379149556159973,0.2887156009674072,0.3683550953865051,0.2715938985347748
10,motion_blur,54.618,20.987,8.567333333333334,3.5825,1.9552,0.15259556472301483,0.28245779871940613,0.1408029943704605,0.110898956656456,0.04133550822734833
11,pixelate,58.006,28.042,14.016666666666667,6.859,4.3832,0.16929596662521362,0.10575797408819199,0.11071372777223587,0.061455681920051575,0.10585582256317139
12,shot_noise,46.764,16.098,5.799333333333333,1.302,0.4336,0.18565577268600464,0.0644555315375328,0.19053447246551514,0.2070302665233612,0.28199389576911926
13,snow,44.316,10.591,8.596,3.9045,1.776,0.15633592009544373,0.9342414140701294,0.6144985556602478,0.6857616305351257,0.3095608949661255
14,zoom_blur,43.624,17.09,9.126666666666667,5.516,3.5092,0.07875463366508484,0.08087586611509323,0.1327354460954666,0.13499987125396729,0.11752849817276001
