,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,72.486,35.521,22.844666666666665,16.147,11.832,0.2941728038713336,0.37943743262439966,0.3210039520636201,0.3565934831276536,0.37919058045372367
1,contrast,69.868,33.916,20.872,11.451,3.84,0.3560984954237938,0.3529226714745164,0.33499755966477096,0.22079870477318764,0.3622861886397004
2,defocus_blur,61.492,27.44,13.991333333333333,7.601,4.1908,0.38586873561143875,0.3785892780870199,0.4430358554236591,0.46653943229466677,0.5031469431705773
3,elastic_transform,65.328,21.104,18.291333333333334,10.6035,3.5196,0.3250134070403874,0.44800449814647436,0.2457418330013752,0.45865650847554207,0.5863671419210732
4,fog,62.84,28.4,15.676,10.1165,5.0048,0.27859162259846926,0.2977561894804239,0.30564488796517253,0.37389088911004364,0.33632570784538984
5,frost,63.19,25.76,13.954666666666666,10.164,6.8716,0.33506702817976475,0.3360710176639259,0.2565099815838039,0.26809965958818793,0.2263265186920762
6,gaussian_noise,64.872,29.92,17.034666666666666,9.838,4.8512,0.256651371717453,0.4035196304321289,0.39373736921697855,0.36345321545377374,0.3600299567915499
7,glass_blur,57.138,22.271,6.645333333333333,3.966,2.254,0.4622584916651249,0.4787283753976226,0.5259697651490569,0.4852822166867554,0.4143594382330775
8,impulse_noise,58.768,26.698,16.29,9.5945,5.0372,0.3131143650971353,0.316414310131222,0.4060294032096863,0.31774877989664674,0.3550125928595662
9,jpeg_compression,66.812,32.198,20.838666666666665,14.236,9.8532,0.31210979260504246,0.33441476058214903,0.3250670894049108,0.38390940614044666,0.40845121862366796
10,motion_blur,66.238,29.789,15.873333333333333,8.2245,4.814,0.3463803301565349,0.3177921250462532,0.23763722274452448,0.4726106785237789,0.5042239557951689
11,pixelate,67.998,33.495,20.494,13.2995,9.6488,0.31392487324774265,0.39325872668996453,0.3518509240821004,0.33983877394348383,0.35654283966869116
12,shot_noise,63.666,28.605,16.229333333333333,8.5325,4.844,0.4177111107856035,0.34763617534190416,0.4028746602125466,0.3538411161862314,0.43682420160621405
13,snow,57.478,20.866,13.867333333333333,7.5125,5.3588,0.32671068236231804,0.3119863234460354,0.25245859380811453,0.28132025757804513,0.33392207813449204
14,zoom_blur,55.496,23.406,13.056,8.1105,5.0036,0.39429429080337286,0.41522152721881866,0.37015617871657014,0.38784351479262114,0.4744498310610652
