,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,81.784,40.566,26.713333333333335,19.5765,15.128,0.771438792347908,0.36669766902923584,0.13627560436725616,0.11251228302717209,0.1022062674164772
1,contrast,80.058,39.488,25.406,17.1415,10.638,0.8168036490678787,0.8376222252845764,0.9604523703455925,0.7389151751995087,0.04491272568702698
2,defocus_blur,75.546,36.012,21.131333333333334,13.4565,8.7988,0.31434500217437744,0.5891119241714478,0.4558791220188141,0.2506420612335205,0.0692981481552124
3,elastic_transform,79.194,31.013,24.602,16.1975,7.9944,0.7255474627017975,0.4792453944683075,0.3720404803752899,0.24812787771224976,0.3770155608654022
4,fog,77.652,37.699,24.477333333333334,18.2115,13.662,0.16024787724018097,0.12849128246307373,0.055759791284799576,0.9615535698831081,0.026538219302892685
5,frost,77.804,35.755,21.86,16.3625,12.1976,0.09798011928796768,0.04409600794315338,0.9283842891454697,0.0773296058177948,0.08428074419498444
6,gaussian_noise,78.55,38.088,23.722666666666665,15.8175,9.9548,0.3323121964931488,0.3065951466560364,0.12296515703201294,0.13646447658538818,0.15877172350883484
7,glass_blur,73.554,32.439,13.605333333333334,8.0235,4.4024,0.25464296340942383,0.0940086841583252,0.17708975076675415,0.14212901890277863,0.47801703214645386
8,impulse_noise,77.94,37.629,24.072,15.8925,10.3608,0.23466186225414276,0.12383905798196793,0.16175395250320435,0.20647376775741577,0.06714488565921783
9,jpeg_compression,78.526,38.686,25.418666666666667,18.2155,13.5524,0.13399499654769897,0.09121061116456985,0.306801974773407,0.08172107487916946,0.11234158277511597
10,motion_blur,78.682,37.542,22.838666666666665,14.5375,9.99,0.6165286302566528,0.2241823822259903,0.08893405646085739,0.2621658742427826,0.10968556255102158
11,pixelate,79.888,39.418,25.48,17.963,13.2348,0.09197129309177399,0.10257832705974579,0.20153717696666718,0.24525901675224304,0.11205634474754333
12,shot_noise,77.972,37.522,23.433333333333334,14.991,10.1412,0.07333910465240479,0.08620380610227585,0.07808910310268402,0.08645877242088318,0.2934490442276001
13,snow,77.168,34.328,23.435333333333332,15.739,11.7448,0.12394541501998901,0.1430051475763321,0.5371856689453125,0.2649261951446533,0.4076465666294098
14,zoom_blur,72.056,32.885,19.748666666666665,13.2855,9.068,0.38123589754104614,0.725173830986023,0.15630310773849487,0.22309230268001556,0.3960123062133789
