,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,68.4,33.8,22.222,16.21,12.4696,0.2585466941818595,0.2752620028331876,0.15494444780051708,0.3023911751806736,0.4045432470738888
1,contrast,67.12,33.118,21.4,14.149,7.93,0.18926557945087552,0.38442350551486015,0.35365099739283323,0.21653211396187544,0.2570996470749378
2,defocus_blur,64.428,30.917,18.577333333333332,11.886,7.5656,0.24801971390843391,0.13738033967092633,0.2670036582276225,0.3660551439970732,0.335862273350358
3,elastic_transform,64.784,21.466,19.508666666666667,12.4485,6.4804,0.37525925785303116,0.2284310581162572,0.369348730891943,0.35368159878998995,0.35274014715105295
4,fog,63.076,30.468,19.074666666666666,13.254,8.538,0.33506222628057003,0.25122499465942383,0.36352053470909595,0.2758086337707937,0.21980428509414196
5,frost,63.712,28.142,16.505333333333333,11.981,8.646,0.17003442160785198,0.44643434416502714,0.23123869439586997,0.2933073425665498,0.32978588342666626
6,gaussian_noise,67.022,32.233,19.922,13.1015,7.8848,0.2859352449886501,0.21105488669127226,0.45856731198728085,0.371825804002583,0.4070694874972105
7,glass_blur,60.704,27.167,11.889333333333333,7.634,5.2584,0.2993394397199154,0.2936966884881258,0.19024083018302917,0.25990893319249153,0.2762296423316002
8,impulse_noise,64.658,31.284,20.106,13.4395,8.5736,0.18581817671656609,0.1825075214728713,0.325400423258543,0.2465637382119894,0.3773603644222021
9,jpeg_compression,66.366,32.588,21.407333333333334,15.3115,11.5288,0.3059197422116995,0.22136218287050724,0.26980456337332726,0.2679409086704254,0.14758062362670898
10,motion_blur,66.214,31.797,19.926,13.5655,9.9696,0.09310524072498082,0.2688489193096757,0.16801048628985882,0.20432210806757212,0.2884052786976099
11,pixelate,67.082,33.241,21.614,15.5835,11.8968,0.3141533900052309,0.3186507932841778,0.24845183081924915,0.230348221026361,0.1644511055201292
12,shot_noise,65.43,31.211,19.236666666666668,12.071,7.9568,0.2319652922451496,0.24623733758926392,0.4066109489649534,0.24996899720281363,0.4129770705476403
13,snow,62.786,27.955,18.954666666666668,12.7005,9.8948,0.2819853234104812,0.2900840314105153,0.22007297165691853,0.3790812948718667,0.37361345812678337
14,zoom_blur,61.852,28.728,17.47533333333333,12.006,8.256,0.2945465771481395,0.3009682414121926,0.17966541042551398,0.1990087293088436,0.17359670484438539
