,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,77.688,38.464,25.151333333333334,18.3345,14.0364,0.4586677560582757,0.37863276712596416,0.48462751787155867,0.3441151874139905,0.4720195271074772
1,contrast,75.214,37.017,23.816666666666666,15.772,8.5592,0.41859310818836093,0.38392116455361247,0.2943457397632301,0.1956533370539546,0.06987607793416828
2,defocus_blur,67.034,30.385,15.737333333333334,8.651,4.8748,0.4756341380998492,0.22937597101554275,0.4022873258218169,0.27742698043584824,0.18976211454719305
3,elastic_transform,74.37,28.169,20.986,12.36,4.3128,0.5020621232688427,0.45679964777082205,0.40838158689439297,0.2863807026296854,0.3015610557049513
4,fog,72.668,35.132,21.579333333333334,14.023,8.1276,0.3943057586438954,0.23452466260641813,0.25959466164931655,0.11978853750042617,0.13051613792777061
5,frost,71.866,31.785,18.706666666666667,13.7745,9.9652,0.3660532794892788,0.2738779350183904,0.3295034198090434,0.29248143546283245,0.260132540948689
6,gaussian_noise,73.44,35.06,21.19333333333333,13.301,7.48,0.5746839269995689,0.38374121207743883,0.2862602970562875,0.18954151635989547,0.23864434845745564
7,glass_blur,65.33,26.285,7.584,3.86,2.1156,0.37209754530340433,0.29460965702310205,0.26686815544962883,0.26688303612172604,0.32054791040718555
8,impulse_noise,71.65,33.669,20.968,12.6955,7.118,0.3223464023321867,0.40579964872449636,0.476498045027256,0.12735267635434866,0.1872377097606659
9,jpeg_compression,72.208,35.129,22.862,15.8925,11.3284,0.4999991524964571,0.49132533092051744,0.4166580606251955,0.3821507692337036,0.3499431852251291
10,motion_blur,72.904,33.634,18.798666666666666,10.476,6.538,0.3042103052139282,0.4142920458689332,0.3471993640996516,0.34315624879673123,0.28410436352714896
11,pixelate,72.458,34.739,21.084,12.858,7.7496,0.48898352868855,0.48042444698512554,0.3617708720266819,0.26431805826723576,0.26376034412533045
12,shot_noise,72.528,34.161,20.589333333333332,11.925,7.1896,0.3754672184586525,0.3844118928536773,0.28806661535054445,0.3130328422412276,0.26654436718672514
13,snow,68.342,27.8,18.988,12.1775,8.9,0.34566742926836014,0.3535691234283149,0.2634115172550082,0.298404554836452,0.31073759961873293
14,zoom_blur,61.232,26.033,14.78,9.4185,6.1408,0.29805085714906454,0.29834264097735286,0.336222218349576,0.2599867060780525,0.2958531053736806
