,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,80.88,40.173,26.528,19.586,15.2452,0.3078182926401496,0.37587316054850817,0.19559889752417806,0.24208712950348854,0.2597392615862191
1,contrast,79.56,39.27,25.488666666666667,17.1625,9.6328,0.21891735959798098,0.18933553411625326,0.3075601492309943,0.24447799753397703,0.15668535105942283
2,defocus_blur,73.07,34.324,18.617333333333335,10.8675,6.4156,0.2726758886128664,0.3208110355772078,0.15256762551143765,0.17849765671417117,0.17011881538201123
3,elastic_transform,77.478,30.006,23.493333333333332,15.191,6.9172,0.33511240500956774,0.30591533705592155,0.41398108657449484,0.4498572046868503,0.3928028808441013
4,fog,77.35,37.53,23.326,17.438,12.9444,0.06849497393704951,0.11529324320144951,0.10814289783593267,0.10063512437045574,0.04925900173839181
5,frost,76.036,34.389,20.797333333333334,15.5655,11.5264,0.3043321566656232,0.3485458514187485,0.2523506269790232,0.15234235231764615,0.2155354635324329
6,gaussian_noise,78.074,37.562,23.132,15.0655,9.068,0.2006019107066095,0.32102274615317583,0.19708436354994774,0.2140070041641593,0.2687117587774992
7,glass_blur,71.694,30.853,10.274666666666667,5.008,2.1156,0.34991430025547743,0.31622307375073433,0.2719126306474209,0.2585421330295503,0.27672010427340865
8,impulse_noise,77.12,36.64,23.157333333333334,14.8035,9.1692,0.26394869619980454,0.3085678108036518,0.29818799812346697,0.3281447538174689,0.2953616604208946
9,jpeg_compression,76.09,37.17,24.368,17.2035,12.5224,0.3300349349156022,0.4159897267818451,0.31075874250382185,0.3579481435008347,0.32152904151007533
10,motion_blur,77.2,36.625,21.612,12.832,8.372,0.31891127908602357,0.22782940044999123,0.24001891631633043,0.23574760626070201,0.23960596323013306
11,pixelate,77.396,38.147,24.070666666666668,16.07,11.4768,0.2411936428397894,0.35888145165517926,0.30435068998485804,0.27717725676484406,0.2956258032936603
12,shot_noise,77.042,36.673,22.656666666666666,14.0595,9.074,0.3259672624990344,0.22585363732650876,0.2415404785424471,0.2644100561738014,0.2688258378766477
13,snow,74.84,31.272,21.77,13.8345,9.15,0.23623642977327108,0.1455664336681366,0.2092079515568912,0.1590082256589085,0.31698420783504844
14,zoom_blur,69.328,30.98,18.294,11.996,7.8696,0.28302410803735256,0.23883324093185365,0.2433442883193493,0.27501388010568917,0.27209962299093604
