,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,81.41,40.511,26.718666666666667,19.706,15.3028,0.234415540471673,0.14003662671893835,0.36627402156591415,0.2828631801530719,0.33522718772292137
1,contrast,79.55,39.336,25.558666666666667,17.1425,9.9056,0.2711521075107157,0.38831328018568456,0.18055449391249567,0.12547834281576797,0.1550526484788861
2,defocus_blur,73.404,34.295,18.788666666666668,11.0185,6.614,0.2536489749327302,0.2443760751048103,0.17046175990253687,0.22146721556782722,0.13871917279902846
3,elastic_transform,77.932,30.515,23.512,15.2615,6.9968,0.3015101929195225,0.18958985246717933,0.27934138709679246,0.29560037795454264,0.33792430721223354
4,fog,77.664,37.614,23.732666666666667,17.6435,13.3536,0.17572513758204877,0.24289927608333528,0.28673744248226285,0.10221663513220847,0.16156680381391197
5,frost,76.542,34.951,21.259333333333334,15.891,11.7852,0.19714656425639987,0.13211139012128115,0.16887741582468152,0.10577423218637705,0.2736698742955923
6,gaussian_noise,78.372,37.64,23.126,15.0155,8.792,0.21086943801492453,0.2384438468143344,0.3049142537638545,0.22418064950034022,0.22045566700398922
7,glass_blur,71.796,30.871,10.648666666666667,5.3835,2.5068,0.31006167735904455,0.27874528942629695,0.25399315170943737,0.20714673516340554,0.26081692008301616
8,impulse_noise,76.902,36.388,23.003333333333334,14.6775,8.7632,0.28696174174547195,0.29033081186935306,0.2165943426080048,0.2377657275646925,0.2807521163485944
9,jpeg_compression,76.632,37.469,24.622,17.3995,12.6744,0.3968522194772959,0.3482765597291291,0.21468511316925287,0.3267030226998031,0.30957375443540514
10,motion_blur,77.584,36.455,21.036666666666665,12.3175,7.9184,0.21405199356377125,0.16760159377008677,0.16571686696261168,0.17207925859838724,0.2515709598083049
11,pixelate,77.928,38.469,24.483333333333334,16.623,11.9912,0.26206630654633045,0.2038236721418798,0.23681567702442408,0.2636478077620268,0.3647878363262862
12,shot_noise,76.776,36.526,22.55,13.865,8.7764,0.21870563179254532,0.26676807180047035,0.2369997682981193,0.22726639173924923,0.2464957928750664
13,snow,75.354,31.443,21.916666666666668,13.959,9.2516,0.3391495365649462,0.22723872028291225,0.17820888757705688,0.19803290162235498,0.28918820386752486
14,zoom_blur,69.802,31.231,18.374666666666666,12.0755,8.0188,0.23281151754781604,0.18519104877486825,0.1397542986087501,0.2400049886200577,0.279689762275666
