,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,80.552,40.045,26.382,19.3795,15.0096,0.28623827174305916,0.2519745868630707,0.34710947377607226,0.13988523255102336,0.22988511808216572
1,contrast,78.762,38.83,25.185333333333332,16.923,10.0236,0.23768144194036722,0.34401880973018706,0.31749731698073447,0.19554955058265477,0.16917154722614214
2,defocus_blur,72.442,33.702,18.32,10.674,6.2892,0.21762891300022602,0.153050122782588,0.35379271279089153,0.2002176628448069,0.14515021455008537
3,elastic_transform,77.174,29.318,22.808666666666667,14.232,6.1176,0.1518476316705346,0.2708461629226804,0.3561138203367591,0.3657391211017966,0.3190354881808162
4,fog,76.512,36.982,22.94,16.703,12.146,0.2073984476737678,0.32580719189718366,0.056849138578400016,0.15372323768679053,0.06269179959781468
5,frost,74.75,33.172,19.613333333333333,14.6315,10.6064,0.17591351829469204,0.18421907117590308,0.2716781022027135,0.31180980429053307,0.25383339170366526
6,gaussian_noise,77.318,37.025,22.622,14.522,8.2572,0.29959840374067426,0.2833168958313763,0.22972857858985662,0.2714224015362561,0.2163856711704284
7,glass_blur,69.742,28.705,7.68,3.344,1.4124,0.32739938609302044,0.27996264304965734,0.3410831547807902,0.2610882620792836,0.2815187950618565
8,impulse_noise,76.542,36.241,22.69,13.977,8.0408,0.3616999937221408,0.3550012754276395,0.3809874211438,0.3084631464444101,0.25935252383351326
9,jpeg_compression,75.454,36.833,24.082666666666668,16.8635,12.1124,0.3055086908861995,0.378064276650548,0.27473513316363096,0.3427482955157757,0.3171043961774558
10,motion_blur,76.648,36.235,21.220666666666666,12.515,7.9928,0.30658345483243465,0.1964802872389555,0.2757219672203064,0.20722824870608747,0.16255553113296628
11,pixelate,77.016,37.765,23.701333333333334,14.777,9.8532,0.20748069789260626,0.3315581539645791,0.2627485739067197,0.20440221717581153,0.2324395291507244
12,shot_noise,75.802,36.014,22.108,13.429,8.3416,0.30919981840997934,0.25623859325423837,0.26479609101079404,0.1659289284143597,0.26305288076400757
13,snow,74.162,29.664,20.832,12.999,8.0424,0.18839720450341702,0.23268528003245592,0.31309970607981086,0.19633586145937443,0.3039963962510228
14,zoom_blur,67.994,29.888,17.49266666666667,11.264,7.37,0.19468055106699467,0.17618434759788215,0.2903542695567012,0.17516815476119518,0.2300937210675329
