,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,70.542,34.559,22.204666666666668,15.66,11.3364,0.5969987716525793,0.6441665031015873,0.5316370762884617,0.50686214864254,0.6445945613086224
1,contrast,67.43,32.603,19.910666666666668,10.575,3.2472,0.5679967664182186,0.4822071148082614,0.5269016297534108,0.3929692357778549,0.3415968404151499
2,defocus_blur,57.538,25.47,12.408666666666667,6.546,3.47,0.507709451019764,0.5381757654249668,0.5091553553938866,0.6101799122989178,0.5011819358915091
3,elastic_transform,65.166,21.472,17.27,9.805,3.0164,0.4953977204859257,0.42656297981739044,0.5090789571404457,0.5386229138821363,0.6769120614044368
4,fog,61.196,27.86,15.467333333333332,9.9505,4.9104,0.42337232735008,0.43799886479973793,0.4621637584641576,0.49400344118475914,0.30478707142174244
5,frost,60.816,24.032,12.813333333333333,9.28,6.226,0.5196212846785784,0.4311758866533637,0.32814365439116955,0.4299443643540144,0.3188493559136987
6,gaussian_noise,63.564,28.883,16.038666666666668,8.97,4.2468,0.5034466162323952,0.6752322129905224,0.5222419463098049,0.4908234402537346,0.4150507366284728
7,glass_blur,54.18,20.361,5.511333333333333,3.0245,1.654,0.5043341405689716,0.5097363535314798,0.48088001646101475,0.4907364845275879,0.38940264098346233
8,impulse_noise,57.148,25.533,15.519333333333334,8.798,4.4724,0.3707618545740843,0.5105847716331482,0.5036522168666124,0.47086186707019806,0.40003596246242523
9,jpeg_compression,64.554,31.079,20.074,13.536,9.2596,0.5208806255832314,0.5007409155368805,0.4799555782228708,0.5572786573320627,0.4760635066777468
10,motion_blur,63.198,27.74,14.347333333333333,7.1335,4.0748,0.5259143402799964,0.5136932879686356,0.30844551883637905,0.4243838582187891,0.37193097453564405
11,pixelate,66.408,32.551,20.00733333333333,12.764,9.0808,0.53464575111866,0.5533071011304855,0.5143431583419442,0.38361587561666965,0.44960252195596695
12,shot_noise,62.026,27.577,15.28,7.6545,4.198,0.5412284880876541,0.5542978998273611,0.49478765577077866,0.34419081825762987,0.4182451134547591
13,snow,55.444,19.68,13.154,7.0525,4.916,0.42421623319387436,0.4258606992661953,0.3513051634654403,0.32952546048909426,0.34828405966982245
14,zoom_blur,53.464,22.665,12.554,7.777,4.8412,0.5477534253150225,0.5382393300533295,0.5177421420812607,0.5449937824159861,0.5759620703756809
