,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,84.596,42.101,27.844,20.563,16.0836,0.20973583962768316,0.17643024679273367,0.21035732608288527,0.2043870147317648,0.2941642254590988
1,contrast,83.616,41.398,27.031333333333333,18.784,11.6824,0.2037732256576419,0.2470217626541853,0.3957655942067504,0.27382110757753253,0.33598641119897366
2,defocus_blur,78.73,37.522,21.776666666666667,13.445,8.4656,0.30634320992976427,0.24252009857445955,0.30130878486670554,0.2993827630998567,0.27197230444289744
3,elastic_transform,82.282,33.366,25.918,17.186,8.0444,0.23938960675150156,0.16447147075086832,0.16380327800288796,0.2127634915523231,0.3439180215355009
4,fog,81.886,40.398,26.04,18.6925,13.112,0.2188916653394699,0.23098424496129155,0.3009055396541953,0.43992894515395164,0.3323290590196848
5,frost,79.426,35.232,20.803333333333335,15.1865,10.9576,0.26549373008310795,0.35100966691970825,0.3030922699254006,0.2925997192505747,0.3104549525305629
6,gaussian_noise,81.374,39.128,23.855333333333334,14.8785,7.7864,0.18019273132085806,0.20578794414177537,0.28770170267671347,0.26567869423888624,0.10110988304950297
7,glass_blur,77.918,35.147,15.340666666666667,9.0715,5.2188,0.3070287397131324,0.42364176362752914,0.29490454983897507,0.24168266309425235,0.3334190840832889
8,impulse_noise,80.748,38.378,24.298,15.211,8.634,0.28535336162894964,0.2605105694383383,0.2251205078791827,0.2461438097525388,0.1303352010436356
9,jpeg_compression,81.986,40.31,26.458,18.7275,13.542,0.269346434623003,0.35668741539120674,0.2950783888809383,0.40245216130279005,0.43157732812687755
10,motion_blur,82.086,39.292,23.718,14.9485,10.1624,0.27124114613980055,0.23760478384792805,0.3356273975223303,0.2788174555171281,0.1997809330932796
11,pixelate,81.734,40.427,25.934666666666665,17.71,12.2612,0.1844518817961216,0.3542448142543435,0.3295410880818963,0.33391966624185443,0.3188574076630175
12,shot_noise,80.99,38.743,23.776666666666667,14.115,8.524,0.17384774424135685,0.2933850917033851,0.26471534091979265,0.16351842368021607,0.13541889982298017
13,snow,80.792,36.276,24.924666666666667,17.044,12.6848,0.2544257470872253,0.272078990470618,0.3388790120370686,0.27975908294320107,0.29570913035422564
14,zoom_blur,73.604,33.079,19.804,13.232,9.0092,0.270990748424083,0.365415848325938,0.3036309964954853,0.3334009014070034,0.3485621700529009
