,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,81.806,40.508,26.569333333333333,19.4455,14.9652,0.3191170496866107,0.2839919766411185,0.2591544920578599,0.26247795578092337,0.21370691061019897
1,contrast,82.138,40.733,26.590666666666667,18.3815,11.474,0.2799771064892411,0.16083340533077717,0.2607321096584201,0.3245886266231537,0.2507138280197978
2,defocus_blur,74.994,35.175,19.703333333333333,11.574,6.9188,0.31028103921562433,0.3315099603496492,0.23523168824613094,0.32407919922843575,0.2570905494503677
3,elastic_transform,79.422,30.54,24.194,15.33,6.34,0.22848388133570552,0.3781427333597094,0.26787082524970174,0.3197495136409998,0.34925820608623326
4,fog,79.828,39.076,24.89666666666667,17.6615,11.904,0.15527524333447218,0.19237329019233584,0.2092235377058387,0.297934016212821,0.2691674903035164
5,frost,74.348,31.097,17.246666666666666,12.436,8.532,0.20806583645753562,0.28874012257438153,0.26866729534231126,0.28922582417726517,0.19240581872873008
6,gaussian_noise,77.252,36.771,22.086666666666666,13.3025,6.1992,0.290121641010046,0.29228380927816033,0.21917347330600023,0.1671381708001718,0.09285994037054479
7,glass_blur,74.622,33.062,13.359333333333334,7.8205,4.4304,0.34020346961915493,0.29228896414861083,0.26958213350735605,0.2857018611393869,0.28014760254882276
8,impulse_noise,76.482,36.039,22.535333333333334,13.449,6.8024,0.30967679573222995,0.22315762797370553,0.2101156492717564,0.18390238052234054,0.09852345834951848
9,jpeg_compression,78.954,38.512,25.079333333333334,17.4055,12.1204,0.27879344252869487,0.2621860820800066,0.36277064587920904,0.3405614015646279,0.40248019620776176
10,motion_blur,78.882,37.258,21.851333333333333,13.016,8.5392,0.26500673149712384,0.21841074572876096,0.34846645407378674,0.297799127176404,0.44030481670051813
11,pixelate,78.308,38.338,24.302666666666667,16.012,9.892,0.3500000247731805,0.34796063881367445,0.29609667183831334,0.363857907243073,0.3588045332580805
12,shot_noise,77.048,36.432,21.946,12.256,6.784,0.25855890521779656,0.2444907259196043,0.22281665995251387,0.23310231207869947,0.08525340619962662
13,snow,75.536,31.848,22.196666666666665,14.586,10.354,0.4449553615413606,0.44960486772470176,0.3350943080149591,0.3217746433801949,0.27962475968524814
14,zoom_blur,67.926,29.672,17.464666666666666,11.3755,7.5052,0.38749692775309086,0.32290256628766656,0.3575206813402474,0.3712643450126052,0.2960196833591908
