,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,78.194,37.768,23.707333333333334,15.75,10.1232,0.13973836600780487,0.35458531975746155,0.15108898282051086,0.22235694527626038,0.43002188205718994
1,contrast,80.214,39.497,25.416666666666668,16.5405,8.6804,0.46748074889183044,0.4671670198440552,0.3069831430912018,0.16692429780960083,0.1909199357032776
2,defocus_blur,68.634,31.866,17.863333333333333,10.6435,6.5364,0.3825683295726776,0.23675183951854706,0.11794619262218475,0.053297095000743866,0.032934658229351044
3,elastic_transform,72.486,25.683,22.7,14.596,6.33,0.22950273752212524,0.17546606063842773,0.21759045124053955,0.1772005409002304,0.16478660702705383
4,fog,78.28,38.145,24.066,16.766,10.6932,0.7682741284370422,0.5120153427124023,0.12290630489587784,0.16603189706802368,0.06288430094718933
5,frost,66.772,26.451,13.511333333333333,10.3225,6.7072,0.18894310295581818,0.12194705009460449,0.09990888088941574,0.09781598299741745,0.09317221492528915
6,gaussian_noise,70.726,31.595,17.120666666666665,9.4005,3.3024,0.10741455852985382,0.11461981385946274,0.07681506127119064,0.4693005383014679,0.29639148712158203
7,glass_blur,69.068,30.98,14.502666666666666,9.304,5.4476,0.07465849071741104,0.056674834340810776,0.06005387008190155,0.18061783909797668,0.028676334768533707
8,impulse_noise,69.304,30.093,17.291333333333334,8.591,3.0944,0.14537037909030914,0.08664827793836594,0.10608881711959839,0.06633025407791138,0.16081596910953522
9,jpeg_compression,70.378,33.743,21.766666666666666,14.5725,9.7304,0.12469948083162308,0.20817287266254425,0.17765633761882782,0.06586792320013046,0.17120780050754547
10,motion_blur,73.28,33.975,19.719333333333335,11.853,7.9596,0.10277508944272995,0.08858883380889893,0.1108967512845993,0.3967173099517822,0.26638099551200867
11,pixelate,73.964,35.668,22.051333333333332,13.71,7.7764,0.09878513216972351,0.08069294691085815,0.10222344845533371,0.12668219208717346,0.05888266861438751
12,shot_noise,69.378,29.707,15.448,6.201,2.1412,0.6996170282363892,0.08929463475942612,0.3623005449771881,0.18454301357269287,0.11301527917385101
13,snow,67.506,22.598,16.119333333333334,8.256,4.178,0.05205777287483215,0.06294744461774826,0.05687406659126282,0.10673145949840546,0.11570928990840912
14,zoom_blur,61.642,26.694,15.232666666666667,9.753,6.0196,0.6714945435523987,0.693092942237854,0.8264174461364746,0.770011305809021,0.7483234405517578
