,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,82.43,40.976,27.019333333333332,19.9315,15.4944,0.5928872618824244,0.5568277314305305,0.5732939019799232,0.5947948433458805,0.5243103392422199
1,contrast,80.426,39.695,25.750666666666667,17.369,10.284,0.4918975457549095,0.5002301447093487,0.5395387783646584,0.491179384291172,0.4363132333382964
2,defocus_blur,76.54,36.256,20.728666666666665,13.024,8.4104,0.6619211137294769,0.5699644386768341,0.5357336029410362,0.5941502284258604,0.45742798037827015
3,elastic_transform,80.466,32.665,24.387333333333334,15.6305,6.5372,0.42726170271635056,0.3083154298365116,0.43404023721814156,0.5154883563518524,0.5433775186538696
4,fog,77.712,37.819,23.804666666666666,16.5675,10.4636,0.47445356100797653,0.6357926651835442,0.5693180821835995,0.5461230017244816,0.45474048517644405
5,frost,76.052,32.78,18.822,13.583,9.6116,0.5322445742785931,0.5383656583726406,0.6497071981430054,0.6424466706812382,0.5856368392705917
6,gaussian_noise,78.534,37.429,22.615333333333332,14.236,7.7076,0.679978396743536,0.38380229845643044,0.7813848331570625,0.5792408287525177,0.5530735366046429
7,glass_blur,74.882,33.248,13.042,7.3525,3.7892,0.68030571565032,0.44360363855957985,0.5800249949097633,0.5609542699530721,0.4594005886465311
8,impulse_noise,77.772,37.233,23.562,14.8395,8.696,0.4631030634045601,0.5122857876121998,0.6100275181233883,0.5114465393126011,0.50666194409132
9,jpeg_compression,78.126,38.177,25.014666666666667,17.685,12.8832,0.654851634055376,0.6324885338544846,0.7355768270790577,0.6323052067309618,0.6347884591668844
10,motion_blur,79.834,38.241,23.046666666666667,14.269,9.4796,0.6141961123794317,0.5850413255393505,0.5382968559861183,0.5309353806078434,0.4357467833906412
11,pixelate,79.936,39.501,25.149333333333335,16.796,11.5156,0.6062440723180771,0.5958710312843323,0.6732765883207321,0.6576567552983761,0.6937927529215813
12,shot_noise,77.982,36.822,22.268666666666668,12.985,7.8756,0.3976948857307434,0.46345280203968287,0.5665507912635803,0.39628959633409977,0.6131322663277388
13,snow,74.262,30.342,21.108,13.737,9.856,0.41472283750772476,0.6861500814557076,0.7127291150391102,0.6721675023436546,0.6686982028186321
14,zoom_blur,71.65,32.299,19.567333333333334,13.065,8.8776,0.6364999152719975,0.5262231528759003,0.5613487251102924,0.4955809507519007,0.49312363006174564
